"agent","p_model","subject","model","competence_structure","scenario"
"Ya",0.5,401,"General",2,3
"Xb",0.5,401,"General",2,3
"Yb",0.5,401,"General",2,3
"Xa",0.5,401,"General",3,1
"Ya",0.5,401,"General",3,1
"Xb",0.5,401,"General",3,1
"Yb",0.5,401,"General",3,1
"Xa",0.5,401,"General",3,2
"Ya",0.5,401,"General",3,2
"Xb",0.5,401,"General",3,2
"Yb",0.5,401,"General",3,2
"Xa",0.5,401,"General",3,3
"Ya",0.5,401,"General",3,3
"Xb",0.5,401,"General",3,3
"Yb",0.5,401,"General",3,3
"Xa",0.881308715451303,401,"Learning",1,1
"Ya",0.118691284548697,401,"Learning",1,1
"Xb",0.926380616153426,401,"Learning",1,1
"Yb",0.0736193838465736,401,"Learning",1,1
"Xa",0.961620594090285,401,"Learning",1,2
"Ya",0.0383794059097152,401,"Learning",1,2
"Xb",0.977342178846807,401,"Learning",1,2
"Yb",0.0226578211531931,401,"Learning",1,2
"Xa",0.926380616153426,401,"Learning",1,3
"Ya",0.0736193838465736,401,"Learning",1,3
"Xb",0.971266542338354,401,"Learning",1,3
"Yb",0.0287334576616457,401,"Learning",1,3
"Xa",0.5,401,"Learning",2,1
"Ya",0.5,401,"Learning",2,1
"Xb",0.881308715451303,401,"Learning",2,1
"Yb",0.118691284548697,401,"Learning",2,1
"Xa",0.5,401,"Learning",2,2
"Ya",0.5,401,"Learning",2,2
"Xb",0.961620594090285,401,"Learning",2,2
"Yb",0.0383794059097152,401,"Learning",2,2
"Xa",0.5,401,"Learning",2,3
"Ya",0.5,401,"Learning",2,3
"Xb",0.926380616153426,401,"Learning",2,3
"Yb",0.0736193838465736,401,"Learning",2,3
"Xa",0.881308715451303,401,"Learning",3,1
"Ya",0.118691284548697,401,"Learning",3,1
"Xb",0.0736193838465736,401,"Learning",3,1
"Yb",0.926380616153426,401,"Learning",3,1
"Xa",0.666766205284023,401,"Learning",3,2
"Ya",0.333233794715977,401,"Learning",3,2
"Xb",0.0226578211531931,401,"Learning",3,2
"Yb",0.977342178846807,401,"Learning",3,2
"Xa",0.666766205284023,401,"Learning",3,3
"Ya",0.333233794715977,401,"Learning",3,3
"Xb",0.0807030551905109,401,"Learning",3,3
"Yb",0.919296944809489,401,"Learning",3,3
"Xa",0.932180280229945,401,"Planning",1,1
"Xb",0.0678197197700552,401,"Planning",1,1
"Ya",0.0678197197700552,401,"Planning",1,1
"Yb",0.932180280229945,401,"Planning",1,1
"Xa",0.932180280229945,401,"Planning",1,2
"Xb",0.0678197197700552,401,"Planning",1,2
"Ya",0.0678197197700552,401,"Planning",1,2
"Yb",0.932180280229945,401,"Planning",1,2
"Xa",0.722300661009636,401,"Planning",1,3
"Xb",0.277699338990364,401,"Planning",1,3
"Ya",0.277699338990364,401,"Planning",1,3
"Yb",0.722300661009636,401,"Planning",1,3
"Xa",0.437819776960725,401,"Planning",2,1
"Xb",0.562180223039275,401,"Planning",2,1
"Ya",0.562180223039275,401,"Planning",2,1
"Yb",0.437819776960725,401,"Planning",2,1
"Xa",0.437819776960725,401,"Planning",2,2
"Xb",0.562180223039275,401,"Planning",2,2
"Ya",0.562180223039275,401,"Planning",2,2
"Yb",0.437819776960725,401,"Planning",2,2
"Xa",0.471645848430458,401,"Planning",2,3
"Xb",0.528354151569542,401,"Planning",2,3
"Ya",0.528354151569542,401,"Planning",2,3
"Yb",0.471645848430458,401,"Planning",2,3
"Xa",0.999569723323416,401,"Planning",3,1
"Xb",0.00043027667658451,401,"Planning",3,1
"Ya",0.00043027667658451,401,"Planning",3,1
"Yb",0.999569723323416,401,"Planning",3,1
"Xa",0.932180280229945,401,"Planning",3,2
"Xb",0.0678197197700552,401,"Planning",3,2
"Ya",0.0678197197700552,401,"Planning",3,2
"Yb",0.932180280229945,401,"Planning",3,2
"Xa",0.932180280229945,401,"Planning",3,3
"Xb",0.0678197197700552,401,"Planning",3,3
"Ya",0.0678197197700552,401,"Planning",3,3
"Yb",0.932180280229945,401,"Planning",3,3
"Xa",0.5,402,"Equality",1,1
"Xb",0.5,402,"Equality",1,1
"Ya",0.5,402,"Equality",1,1
"Yb",0.5,402,"Equality",1,1
"Xa",0.5,402,"Equality",1,2
"Xb",0.5,402,"Equality",1,2
"Ya",0.5,402,"Equality",1,2
"Yb",0.5,402,"Equality",1,2
"Xa",0.5,402,"Equality",1,3
"Xb",0.5,402,"Equality",1,3
"Ya",0.5,402,"Equality",1,3
"Yb",0.5,402,"Equality",1,3
"Xa",0.5,402,"Equality",2,1
"Xb",0.5,402,"Equality",2,1
"Ya",0.5,402,"Equality",2,1
"Yb",0.5,402,"Equality",2,1
"Xa",0.5,402,"Equality",2,2
"Xb",0.5,402,"Equality",2,2
"Ya",0.5,402,"Equality",2,2
"Yb",0.5,402,"Equality",2,2
"Xa",0.5,402,"Equality",2,3
"Xb",0.5,402,"Equality",2,3
"Ya",0.5,402,"Equality",2,3
"Yb",0.5,402,"Equality",2,3
"Xa",0.5,402,"Equality",3,1
"Xb",0.5,402,"Equality",3,1
"Ya",0.5,402,"Equality",3,1
"Yb",0.5,402,"Equality",3,1
"Xa",0.5,402,"Equality",3,2
"Xb",0.5,402,"Equality",3,2
"Ya",0.5,402,"Equality",3,2
"Yb",0.5,402,"Equality",3,2
"Xa",0.5,402,"Equality",3,3
"Xb",0.5,402,"Equality",3,3
"Ya",0.5,402,"Equality",3,3
"Yb",0.5,402,"Equality",3,3
"Xa",3.33956517330579e-07,402,"Equity",1,1
"Ya",0.999999666043483,402,"Equity",1,1
"Xb",2.23579510915697e-09,402,"Equity",1,1
"Yb",0.999999997764205,402,"Equity",1,1
"Xa",1.61172699431612e-11,402,"Equity",1,2
"Ya",0.999999999983883,402,"Equity",1,2
"Xb",1.07887601906103e-13,402,"Equity",1,2
"Yb",0.999999999999892,402,"Equity",1,2
"Xa",2.23579510915697e-09,402,"Equity",1,3
"Ya",0.999999997764205,402,"Equity",1,3
"Xb",7.29166276498784e-13,402,"Equity",1,3
"Yb",0.999999999999271,402,"Equity",1,3
"Xa",0.5,402,"Equity",2,1
"Ya",0.5,402,"Equity",2,1
"Xb",3.33956517330579e-07,402,"Equity",2,1
"Yb",0.999999666043483,402,"Equity",2,1
"Xa",0.5,402,"Equity",2,2
"Ya",0.500000000000001,402,"Equity",2,2
"Xb",1.61172699431612e-11,402,"Equity",2,2
"Yb",0.999999999983883,402,"Equity",2,2
"Xa",0.5,402,"Equity",2,3
"Ya",0.5,402,"Equity",2,3
"Xb",2.23579510915697e-09,402,"Equity",2,3
"Yb",0.999999997764205,402,"Equity",2,3
"Xa",3.33956517330579e-07,402,"Equity",3,1
"Ya",0.999999666043483,402,"Equity",3,1
"Xb",0.999999997764205,402,"Equity",3,1
"Yb",2.23579510915697e-09,402,"Equity",3,1
"Xa",0.00850303516610826,402,"Equity",3,2
"Ya",0.991496964833892,402,"Equity",3,2
"Xb",0.999999999999892,402,"Equity",3,2
"Yb",1.07887601906103e-13,402,"Equity",3,2
"Xa",0.00850303516610826,402,"Equity",3,3
"Ya",0.991496964833892,402,"Equity",3,3
"Xb",0.99999999023329,402,"Equity",3,3
"Yb",9.76671003132291e-09,402,"Equity",3,3
"Xa",0.5,402,"Exploitation",1,1
"Ya",0.5,402,"Exploitation",1,1
"Xb",0.5,402,"Exploitation",1,1
"Yb",0.5,402,"Exploitation",1,1
"Xa",0.5,402,"Exploitation",1,2
"Ya",0.5,402,"Exploitation",1,2
"Xb",0.5,402,"Exploitation",1,2
"Yb",0.5,402,"Exploitation",1,2
"Xa",0.5,402,"Exploitation",1,3
"Ya",0.5,402,"Exploitation",1,3
"Xb",0.5,402,"Exploitation",1,3
"Yb",0.5,402,"Exploitation",1,3
"Xa",0.5,402,"Exploitation",2,1
"Ya",0.5,402,"Exploitation",2,1
"Xb",0.5,402,"Exploitation",2,1
"Yb",0.5,402,"Exploitation",2,1
"Xa",0.5,402,"Exploitation",2,2
"Ya",0.5,402,"Exploitation",2,2
"Xb",0.5,402,"Exploitation",2,2
"Yb",0.5,402,"Exploitation",2,2
"Xa",0.5,402,"Exploitation",2,3
"Ya",0.5,402,"Exploitation",2,3
"Xb",0.5,402,"Exploitation",2,3
"Yb",0.5,402,"Exploitation",2,3
"Xa",0.5,402,"Exploitation",3,1
"Ya",0.5,402,"Exploitation",3,1
