"agent","p_model","subject","model","competence_structure","scenario"
"Xa",0.5,1,"Equality",1,1
"Xb",0.5,1,"Equality",1,1
"Ya",0.5,1,"Equality",1,1
"Yb",0.5,1,"Equality",1,1
"Xa",0.5,1,"Equality",1,2
"Xb",0.5,1,"Equality",1,2
"Ya",0.5,1,"Equality",1,2
"Yb",0.5,1,"Equality",1,2
"Xa",0.5,1,"Equality",1,3
"Xb",0.5,1,"Equality",1,3
"Ya",0.5,1,"Equality",1,3
"Yb",0.5,1,"Equality",1,3
"Xa",0.5,1,"Equality",2,1
"Xb",0.5,1,"Equality",2,1
"Ya",0.5,1,"Equality",2,1
"Yb",0.5,1,"Equality",2,1
"Xa",0.5,1,"Equality",2,2
"Xb",0.5,1,"Equality",2,2
"Ya",0.5,1,"Equality",2,2
"Yb",0.5,1,"Equality",2,2
"Xa",0.5,1,"Equality",2,3
"Xb",0.5,1,"Equality",2,3
"Ya",0.5,1,"Equality",2,3
"Yb",0.5,1,"Equality",2,3
"Xa",0.5,1,"Equality",3,1
"Xb",0.5,1,"Equality",3,1
"Ya",0.5,1,"Equality",3,1
"Yb",0.5,1,"Equality",3,1
"Xa",0.5,1,"Equality",3,2
"Xb",0.5,1,"Equality",3,2
"Ya",0.5,1,"Equality",3,2
"Yb",0.5,1,"Equality",3,2
"Xa",0.5,1,"Equality",3,3
"Xb",0.5,1,"Equality",3,3
"Ya",0.5,1,"Equality",3,3
"Yb",0.5,1,"Equality",3,3
"Xa",0.5,1,"Equity",1,1
"Ya",0.5,1,"Equity",1,1
"Xb",0.5,1,"Equity",1,1
"Yb",0.5,1,"Equity",1,1
"Xa",0.5,1,"Equity",1,2
"Ya",0.5,1,"Equity",1,2
"Xb",0.5,1,"Equity",1,2
"Yb",0.5,1,"Equity",1,2
"Xa",0.5,1,"Equity",1,3
"Ya",0.5,1,"Equity",1,3
"Xb",0.5,1,"Equity",1,3
"Yb",0.5,1,"Equity",1,3
"Xa",0.5,1,"Equity",2,1
"Ya",0.5,1,"Equity",2,1
"Xb",0.5,1,"Equity",2,1
"Yb",0.5,1,"Equity",2,1
"Xa",0.5,1,"Equity",2,2
"Ya",0.5,1,"Equity",2,2
"Xb",0.5,1,"Equity",2,2
"Yb",0.5,1,"Equity",2,2
"Xa",0.5,1,"Equity",2,3
"Ya",0.5,1,"Equity",2,3
"Xb",0.5,1,"Equity",2,3
"Yb",0.5,1,"Equity",2,3
"Xa",0.5,1,"Equity",3,1
"Ya",0.5,1,"Equity",3,1
"Xb",0.5,1,"Equity",3,1
"Yb",0.5,1,"Equity",3,1
"Xa",0.5,1,"Equity",3,2
"Ya",0.5,1,"Equity",3,2
"Xb",0.5,1,"Equity",3,2
"Yb",0.5,1,"Equity",3,2
"Xa",0.5,1,"Equity",3,3
"Ya",0.5,1,"Equity",3,3
"Xb",0.5,1,"Equity",3,3
"Yb",0.5,1,"Equity",3,3
"Xa",0.999999666043483,1,"Exploitation",1,1
"Ya",3.33956517330579e-07,1,"Exploitation",1,1
"Xb",0.999999997764205,1,"Exploitation",1,1
"Yb",2.23579510915697e-09,1,"Exploitation",1,1
"Xa",0.999999999983883,1,"Exploitation",1,2
"Ya",1.61172699431612e-11,1,"Exploitation",1,2
"Xb",0.999999999999892,1,"Exploitation",1,2
"Yb",1.07887601906103e-13,1,"Exploitation",1,2
"Xa",0.999999997764205,1,"Exploitation",1,3
"Ya",2.23579510915697e-09,1,"Exploitation",1,3
"Xb",0.999999999999271,1,"Exploitation",1,3
"Yb",7.29166276498784e-13,1,"Exploitation",1,3
"Xa",0.5,1,"Exploitation",2,1
"Ya",0.5,1,"Exploitation",2,1
"Xb",0.999999666043483,1,"Exploitation",2,1
"Yb",3.33956517330579e-07,1,"Exploitation",2,1
"Xa",0.5,1,"Exploitation",2,2
"Ya",0.500000000000001,1,"Exploitation",2,2
"Xb",0.999999999983883,1,"Exploitation",2,2
"Yb",1.61172699431612e-11,1,"Exploitation",2,2
"Xa",0.5,1,"Exploitation",2,3
"Ya",0.5,1,"Exploitation",2,3
"Xb",0.999999997764205,1,"Exploitation",2,3
"Yb",2.23579510915697e-09,1,"Exploitation",2,3
"Xa",0.999999666043483,1,"Exploitation",3,1
"Ya",3.33956517330579e-07,1,"Exploitation",3,1
"Xb",2.23579510915698e-09,1,"Exploitation",3,1
"Yb",0.999999997764205,1,"Exploitation",3,1
"Xa",0.991496964833892,1,"Exploitation",3,2
"Ya",0.00850303516610834,1,"Exploitation",3,2
"Xb",1.07887601906103e-13,1,"Exploitation",3,2
"Yb",0.999999999999892,1,"Exploitation",3,2
"Xa",0.991496964833892,1,"Exploitation",3,3
"Ya",0.00850303516610834,1,"Exploitation",3,3
"Xb",9.76671003132294e-09,1,"Exploitation",3,3
"Yb",0.99999999023329,1,"Exploitation",3,3
"Xa",0.5,1,"General",1,1
"Ya",0.5,1,"General",1,1
"Xb",0.5,1,"General",1,1
"Yb",0.5,1,"General",1,1
"Xa",0.5,1,"General",1,2
"Ya",0.5,1,"General",1,2
"Xb",0.5,1,"General",1,2
"Yb",0.5,1,"General",1,2
"Xa",0.5,1,"General",1,3
"Ya",0.5,1,"General",1,3
"Xb",0.5,1,"General",1,3
"Yb",0.5,1,"General",1,3
"Xa",0.5,1,"General",2,1
"Ya",0.5,1,"General",2,1
"Xb",0.5,1,"General",2,1
"Yb",0.5,1,"General",2,1
"Xa",0.5,1,"General",2,2
"Ya",0.5,1,"General",2,2
"Xb",0.5,1,"General",2,2
"Yb",0.5,1,"General",2,2
"Xa",0.5,1,"General",2,3
"Ya",0.5,1,"General",2,3
"Xb",0.5,1,"General",2,3
"Yb",0.5,1,"General",2,3
"Xa",0.5,1,"General",3,1
"Ya",0.5,1,"General",3,1
"Xb",0.5,1,"General",3,1
"Yb",0.5,1,"General",3,1
"Xa",0.5,1,"General",3,2
"Ya",0.5,1,"General",3,2
"Xb",0.5,1,"General",3,2
"Yb",0.5,1,"General",3,2
"Xa",0.5,1,"General",3,3
"Ya",0.5,1,"General",3,3
"Xb",0.5,1,"General",3,3
"Yb",0.5,1,"General",3,3
"Xa",0.9999980892592,1,"Learning",1,1
