"agent","p_model","subject","model","competence_structure","scenario"
"Xa",0.5,201,"Equality",1,1
"Xb",0.5,201,"Equality",1,1
"Ya",0.5,201,"Equality",1,1
"Yb",0.5,201,"Equality",1,1
"Xa",0.5,201,"Equality",1,2
"Xb",0.5,201,"Equality",1,2
"Ya",0.5,201,"Equality",1,2
"Yb",0.5,201,"Equality",1,2
"Xa",0.5,201,"Equality",1,3
"Xb",0.5,201,"Equality",1,3
"Ya",0.5,201,"Equality",1,3
"Yb",0.5,201,"Equality",1,3
"Xa",0.5,201,"Equality",2,1
"Xb",0.5,201,"Equality",2,1
"Ya",0.5,201,"Equality",2,1
"Yb",0.5,201,"Equality",2,1
"Xa",0.5,201,"Equality",2,2
"Xb",0.5,201,"Equality",2,2
"Ya",0.5,201,"Equality",2,2
"Yb",0.5,201,"Equality",2,2
"Xa",0.5,201,"Equality",2,3
"Xb",0.5,201,"Equality",2,3
"Ya",0.5,201,"Equality",2,3
"Yb",0.5,201,"Equality",2,3
"Xa",0.5,201,"Equality",3,1
"Xb",0.5,201,"Equality",3,1
"Ya",0.5,201,"Equality",3,1
"Yb",0.5,201,"Equality",3,1
"Xa",0.5,201,"Equality",3,2
"Xb",0.5,201,"Equality",3,2
"Ya",0.5,201,"Equality",3,2
"Yb",0.5,201,"Equality",3,2
"Xa",0.5,201,"Equality",3,3
"Xb",0.5,201,"Equality",3,3
"Ya",0.5,201,"Equality",3,3
"Yb",0.5,201,"Equality",3,3
"Xa",3.33956517330579e-07,201,"Equity",1,1
"Ya",0.999999666043483,201,"Equity",1,1
"Xb",2.23579510915697e-09,201,"Equity",1,1
"Yb",0.999999997764205,201,"Equity",1,1
"Xa",1.61172699431612e-11,201,"Equity",1,2
"Ya",0.999999999983883,201,"Equity",1,2
"Xb",1.07887601906103e-13,201,"Equity",1,2
"Yb",0.999999999999892,201,"Equity",1,2
"Xa",2.23579510915697e-09,201,"Equity",1,3
"Ya",0.999999997764205,201,"Equity",1,3
"Xb",7.29166276498784e-13,201,"Equity",1,3
"Yb",0.999999999999271,201,"Equity",1,3
"Xa",0.5,201,"Equity",2,1
"Ya",0.5,201,"Equity",2,1
"Xb",3.33956517330579e-07,201,"Equity",2,1
"Yb",0.999999666043483,201,"Equity",2,1
"Xa",0.5,201,"Equity",2,2
"Ya",0.500000000000001,201,"Equity",2,2
"Xb",1.61172699431612e-11,201,"Equity",2,2
"Yb",0.999999999983883,201,"Equity",2,2
"Xa",0.5,201,"Equity",2,3
"Ya",0.5,201,"Equity",2,3
"Xb",2.23579510915697e-09,201,"Equity",2,3
"Yb",0.999999997764205,201,"Equity",2,3
"Xa",3.33956517330579e-07,201,"Equity",3,1
"Ya",0.999999666043483,201,"Equity",3,1
"Xb",0.999999997764205,201,"Equity",3,1
"Yb",2.23579510915697e-09,201,"Equity",3,1
"Xa",0.00850303516610826,201,"Equity",3,2
"Ya",0.991496964833892,201,"Equity",3,2
"Xb",0.999999999999892,201,"Equity",3,2
"Yb",1.07887601906103e-13,201,"Equity",3,2
"Xa",0.00850303516610826,201,"Equity",3,3
"Ya",0.991496964833892,201,"Equity",3,3
"Xb",0.99999999023329,201,"Equity",3,3
"Yb",9.76671003132291e-09,201,"Equity",3,3
"Xa",0.5,201,"Exploitation",1,1
"Ya",0.5,201,"Exploitation",1,1
"Xb",0.5,201,"Exploitation",1,1
"Yb",0.5,201,"Exploitation",1,1
"Xa",0.5,201,"Exploitation",1,2
"Ya",0.5,201,"Exploitation",1,2
"Xb",0.5,201,"Exploitation",1,2
"Yb",0.5,201,"Exploitation",1,2
"Xa",0.5,201,"Exploitation",1,3
"Ya",0.5,201,"Exploitation",1,3
"Xb",0.5,201,"Exploitation",1,3
"Yb",0.5,201,"Exploitation",1,3
"Xa",0.5,201,"Exploitation",2,1
"Ya",0.5,201,"Exploitation",2,1
"Xb",0.5,201,"Exploitation",2,1
"Yb",0.5,201,"Exploitation",2,1
"Xa",0.5,201,"Exploitation",2,2
"Ya",0.5,201,"Exploitation",2,2
"Xb",0.5,201,"Exploitation",2,2
"Yb",0.5,201,"Exploitation",2,2
"Xa",0.5,201,"Exploitation",2,3
"Ya",0.5,201,"Exploitation",2,3
"Xb",0.5,201,"Exploitation",2,3
"Yb",0.5,201,"Exploitation",2,3
"Xa",0.5,201,"Exploitation",3,1
"Ya",0.5,201,"Exploitation",3,1
"Xb",0.5,201,"Exploitation",3,1
"Yb",0.5,201,"Exploitation",3,1
"Xa",0.5,201,"Exploitation",3,2
"Ya",0.5,201,"Exploitation",3,2
"Xb",0.5,201,"Exploitation",3,2
"Yb",0.5,201,"Exploitation",3,2
"Xa",0.5,201,"Exploitation",3,3
"Ya",0.5,201,"Exploitation",3,3
"Xb",0.5,201,"Exploitation",3,3
"Yb",0.5,201,"Exploitation",3,3
"Xa",0.5,201,"General",1,1
"Ya",0.5,201,"General",1,1
"Xb",0.5,201,"General",1,1
"Yb",0.5,201,"General",1,1
"Xa",0.5,201,"General",1,2
"Ya",0.5,201,"General",1,2
"Xb",0.5,201,"General",1,2
"Yb",0.5,201,"General",1,2
"Xa",0.5,201,"General",1,3
"Ya",0.5,201,"General",1,3
"Xb",0.5,201,"General",1,3
"Yb",0.5,201,"General",1,3
"Xa",0.5,201,"General",2,1
"Ya",0.5,201,"General",2,1
"Xb",0.5,201,"General",2,1
"Yb",0.5,201,"General",2,1
"Xa",0.5,201,"General",2,2
"Ya",0.5,201,"General",2,2
"Xb",0.5,201,"General",2,2
"Yb",0.5,201,"General",2,2
"Xa",0.5,201,"General",2,3
"Ya",0.5,201,"General",2,3
"Xb",0.5,201,"General",2,3
"Yb",0.5,201,"General",2,3
"Xa",0.5,201,"General",3,1
"Ya",0.5,201,"General",3,1
"Xb",0.5,201,"General",3,1
"Yb",0.5,201,"General",3,1
"Xa",0.5,201,"General",3,2
"Ya",0.5,201,"General",3,2
"Xb",0.5,201,"General",3,2
"Yb",0.5,201,"General",3,2
"Xa",0.5,201,"General",3,3
"Ya",0.5,201,"General",3,3
"Xb",0.5,201,"General",3,3
"Yb",0.5,201,"General",3,3
"Xa",0.999569723323416,201,"Learning",1,1
"Ya",0.00043027667658451,201,"Learning",1,1
"Xb",0.999956800705737,201,"Learning",1,1
"Yb",4.31992942625702e-05,201,"Learning",1,1
"Xa",0.999996895978467,201,"Learning",1,2
"Ya",3.10402153295365e-06,201,"Learning",1,2
"Xb",0.999999694326741,201,"Learning",1,2
"Yb",3.05673259382445e-07,201,"Learning",1,2
"Xa",0.999956800705737,201,"Learning",1,3
"Ya",4.31992942625702e-05,201,"Learning",1,3
"Xb",0.999999195611644,201,"Learning",1,3
"Yb",8.04388355802599e-07,201,"Learning",1,3
"Xa",0.5,201,"Learning",2,1
"Ya",0.5,201,"Learning",2,1
"Xb",0.999569723323416,201,"Learning",2,1
"Yb",0.00043027667658451,201,"Learning",2,1
"Xa",0.5,201,"Learning",2,2
"Ya",0.5,201,"Learning",2,2
"Xb",0.999996895978467,201,"Learning",2,2
"Yb",3.10402153295365e-06,201,"Learning",2,2
"Xa",0.5,201,"Learning",2,3
"Ya",0.5,201,"Learning",2,3
"Xb",0.999956800705737,201,"Learning",2,3
"Yb",4.31992942625702e-05,201,"Learning",2,3
"Xa",0.999569723323416,201,"Learning",3,1
"Ya",0.00043027667658451,201,"Learning",3,1
"Xb",4.31992942625702e-05,201,"Learning",3,1
"Yb",0.999956800705737,201,"Learning",3,1
"Xa",0.932180280229945,201,"Learning",3,2
"Ya",0.0678197197700552,201,"Learning",3,2
"Xb",3.05673259382445e-07,201,"Learning",3,2
"Yb",0.999999694326741,201,"Learning",3,2
"Xa",0.932180280229945,201,"Learning",3,3
"Ya",0.0678197197700552,201,"Learning",3,3
"Xb",7.31430710230339e-05,201,"Learning",3,3
"Yb",0.999926856928977,201,"Learning",3,3
"Xa",0.145755948705818,201,"Planning",1,1
"Xb",0.854244051294181,201,"Planning",1,1
"Ya",0.854244051294181,201,"Planning",1,1
"Yb",0.145755948705818,201,"Planning",1,1
"Xa",0.128747146040411,201,"Planning",1,2
"Xb",0.871252853959589,201,"Planning",1,2
"Ya",0.871252853959589,201,"Planning",1,2
"Yb",0.128747146040411,201,"Planning",1,2
"Xa",0.0225820841819488,201,"Planning",1,3
"Xb",0.977417915818051,201,"Planning",1,3
"Ya",0.977417915818051,201,"Planning",1,3
"Yb",0.0225820841819488,201,"Planning",1,3
"Xa",0.00058031844105532,201,"Planning",2,1
"Xb",0.999419681558945,201,"Planning",2,1
"Ya",0.999419681558945,201,"Planning",2,1
"Yb",0.00058031844105532,201,"Planning",2,1
"Xa",4.16691818640747e-06,201,"Planning",2,2
"Xb",0.999995833081814,201,"Planning",2,2
"Ya",0.999995833081814,201,"Planning",2,2
"Yb",4.16691818640747e-06,201,"Planning",2,2
"Xa",4.58493878126813e-05,201,"Planning",2,3
"Xb",0.999954150612187,201,"Planning",2,3
