"subject","model","beta","log_likelihood"
201,"Equality",0,-56.1449216253556
201,"Equity",2,-47.5940675263042
201,"Exploitation",0,-56.1449216253556
201,"General",0,-56.1449216253556
201,"Learning",2,-51.0199175518354
201,"Planning",3.5,-40.8378215062908
202,"Equality",0,-56.1449216253556
202,"Equity",0.5,-55.634040274033
202,"Exploitation",1,-54.8636448700215
202,"General",0,-56.1449216253556
202,"Learning",3,-44.8241631418183
202,"Planning",5,-33.597778060313
203,"Equality",0,-56.1449216253556
203,"Equity",2,-44.7740675263042
203,"Exploitation",0,-56.1449216253556
203,"General",0,-56.1449216253556
203,"Learning",0.5,-55.760148757543
203,"Planning",1.5,-52.6280004190764
204,"Equality",0,-56.1449216253556
204,"Equity",1.5,-49.5126792690679
204,"Exploitation",0,-56.1449216253556
204,"General",0,-56.1449216253556
204,"Learning",2.5,-47.37236356987
204,"Planning",5,-33.4977780603129
205,"Equality",0,-56.1449216253556
205,"Equity",0,-56.1449216253556
205,"Exploitation",3.5,-40.8701765531294
205,"General",0,-56.1449216253556
205,"Learning",2.5,-47.99736356987
205,"Planning",6.5,-25.4408099851664
206,"Equality",0,-56.1449216253556
206,"Equity",1.5,-50.5476792690679
206,"Exploitation",0,-56.1449216253556
206,"General",0,-56.1449216253556
206,"Learning",2,-51.6599175518354
206,"Planning",4.5,-34.8366152410221
207,"Equality",0,-56.1449216253556
207,"Equity",3,-38.9306287894952
207,"Exploitation",0,-56.1449216253556
207,"General",0,-56.1449216253556
207,"Learning",2,-49.3999175518355
207,"Planning",6,-28.9869436350774
208,"Equality",0,-56.1449216253556
208,"Equity",1,-54.1394772611993
208,"Exploitation",0.5,-55.4438136516197
208,"General",0,-56.1449216253556
208,"Learning",4,-39.9746344298468
208,"Planning",3.5,-41.5028215062908
209,"Equality",0,-56.1449216253556
209,"Equity",2.5,-41.5301326341326
209,"Exploitation",0,-56.1449216253556
209,"General",0,-56.1449216253556
209,"Learning",1.5,-52.3340487456891
209,"Planning",3.5,-42.3428215062908
210,"Equality",0,-56.1449216253556
210,"Equity",2.5,-41.3801326341326
210,"Exploitation",0,-56.1449216253556
210,"General",0,-56.1449216253556
210,"Learning",2.5,-49.04736356987
210,"Planning",6,-28.0869436350774
211,"Equality",0,-56.1449216253556
211,"Equity",2,-47.4340675263042
211,"Exploitation",0,-56.1449216253556
211,"General",0,-56.1449216253556
211,"Learning",2,-49.6199175518355
211,"Planning",3.5,-42.9028215062908
212,"Equality",0,-56.1449216253556
212,"Equity",1.5,-50.8626792690679
212,"Exploitation",0,-56.1449216253556
212,"General",0,-56.1449216253556
212,"Learning",2.5,-46.82236356987
212,"Planning",3.5,-41.7478215062908
213,"Equality",0,-56.1449216253556
213,"Equity",1,-52.3494772611993
213,"Exploitation",0,-56.1449216253556
213,"General",0,-56.1449216253556
213,"Learning",3,-46.3841631418183
213,"Planning",4.5,-35.196615241022
214,"Equality",0,-56.1449216253556
214,"Equity",1.5,-49.1226792690678
214,"Exploitation",0,-56.1449216253556
214,"General",0,-56.1449216253556
214,"Learning",2,-49.5199175518354
214,"Planning",3,-44.1592119785901
215,"Equality",0,-56.1449216253556
215,"Equity",1,-54.0394772611993
215,"Exploitation",0,-56.1449216253556
215,"General",0,-56.1449216253556
215,"Learning",1.5,-51.9290487456891
215,"Planning",3.5,-40.2778215062908
216,"Equality",0,-56.1449216253556
216,"Equity",3,-37.9406287894952
216,"Exploitation",0,-56.1449216253556
216,"General",0,-56.1449216253556
216,"Learning",2,-50.0599175518355
216,"Planning",5.5,-30.8231039533852
217,"Equality",0,-56.1449216253556
217,"Equity",1,-53.0494772611993
217,"Exploitation",0,-56.1449216253556
217,"General",0.5,-56.0784814073075
217,"Learning",2.5,-46.89736356987
217,"Planning",4,-37.2129446823157
218,"Equality",0,-56.1449216253556
218,"Equity",1.5,-51.5826792690679
218,"Exploitation",0,-56.1449216253556
218,"General",0,-56.1449216253556
218,"Learning",2.5,-47.67236356987
218,"Planning",7,-24.5526287109821
219,"Equality",0,-56.1449216253556
219,"Equity",1.5,-50.8626792690679
219,"Exploitation",0,-56.1449216253556
219,"General",0,-56.1449216253556
219,"Learning",2,-49.8399175518355
219,"Planning",5.5,-30.2181039533852
220,"Equality",0,-56.1449216253556
220,"Equity",0.5,-54.884040274033
220,"Exploitation",0.5,-55.8038136516197
220,"General",0,-56.1449216253556
220,"Learning",2.5,-48.19736356987
220,"Planning",6.5,-25.9608099851665
221,"Equality",0,-56.1449216253556
221,"Equity",0,-56.1449216253556
221,"Exploitation",2,-49.7892612665295
221,"General",0,-56.1449216253556
221,"Learning",2.5,-48.29736356987
221,"Planning",2,-49.9814788968314
222,"Equality",0,-56.1449216253556
222,"Equity",0.5,-54.924040274033
222,"Exploitation",0,-56.1449216253556
222,"General",0,-56.1449216253556
222,"Learning",1.5,-53.2640487456891
222,"Planning",0.5,-55.5859783116178
223,"Equality",0,-56.1449216253556
223,"Equity",0.5,-55.259040274033
223,"Exploitation",0,-56.1449216253556
223,"General",0,-56.1449216253556
223,"Learning",0.5,-55.830148757543
223,"Planning",0,-56.1449216253556
224,"Equality",0,-56.1449216253556
224,"Equity",1.5,-51.1326792690679
224,"Exploitation",0,-56.1449216253556
224,"General",0,-56.1449216253556
224,"Learning",1.5,-52.4390487456891
224,"Planning",1,-54.6708901397218
225,"Equality",0,-56.1449216253556
225,"Equity",0.5,-55.454040274033
225,"Exploitation",1,-54.9436448700215
225,"General",0,-56.1449216253556
225,"Learning",3,-44.2241631418183
225,"Planning",10,-14.1095970218907
226,"Equality",0,-56.1449216253556
226,"Equity",0,-56.1449216253556
226,"Exploitation",2.5,-45.334029036759
226,"General",0,-56.1449216253556
226,"Learning",2,-49.6399175518354
226,"Planning",5.5,-29.6681039533852
227,"Equality",0,-56.1449216253556
227,"Equity",0,-56.1449216253556
227,"Exploitation",3,-43.7052061136251
227,"General",0.5,-55.2934814073074
227,"Learning",2.5,-46.82236356987
227,"Planning",1.5,-52.2230004190764
228,"Equality",0,-56.1449216253556
228,"Equity",0,-56.1449216253556
228,"Exploitation",1.5,-52.858476014878
228,"General",0,-56.1449216253556
228,"Learning",4,-41.7746344298468
228,"Planning",6.5,-25.1808099851665
229,"Equality",0,-56.1449216253556
229,"Equity",0,-56.1449216253556
229,"Exploitation",0.5,-56.0388136516197
229,"General",0,-56.1449216253556
229,"Learning",0,-56.1449216253556
229,"Planning",0,-56.1449216253556
230,"Equality",0,-56.1449216253556
230,"Equity",1.5,-48.1776792690679
230,"Exploitation",0,-56.1449216253556
230,"General",0,-56.1449216253556
230,"Learning",1.5,-53.1440487456891
230,"Planning",1,-54.9608901397218
231,"Equality",0,-56.1449216253556
231,"Equity",0.5,-56.079040274033
231,"Exploitation",1,-54.2936448700215
231,"General",0,-56.1449216253556
231,"Learning",3.5,-44.0498061717323
231,"Planning",10,-13.6095970218907
232,"Equality",0,-56.1449216253556
232,"Equity",0,-56.1449216253556
232,"Exploitation",2,-51.2492612665294
232,"General",0.5,-56.0434814073075
232,"Learning",1,-54.2903731994091
232,"Planning",0,-56.1449216253556
233,"Equality",0,-56.1449216253556
233,"Equity",0.5,-55.554040274033
233,"Exploitation",0.5,-55.9538136516197
233,"General",0,-56.1449216253556
233,"Learning",1.5,-52.1540487456891
233,"Planning",2.5,-48.8846704093766
234,"Equality",0,-56.1449216253556
234,"Equity",3,-38.0306287894952
234,"Exploitation",0,-56.1449216253556
234,"General",0,-56.1449216253556
234,"Learning",1.5,-52.5290487456891
234,"Planning",3,-44.8192119785901
235,"Equality",0,-56.1449216253556
235,"Equity",1.5,-51.3876792690679
235,"Exploitation",0,-56.1449216253556
235,"General",0.5,-55.4984814073074
235,"Learning",1,-54.8603731994091
235,"Planning",2,-50.0014788968315
236,"Equality",0,-56.1449216253556
236,"Equity",0.5,-55.549040274033
236,"Exploitation",1,-54.8836448700215
236,"General",0,-56.1449216253556
236,"Learning",3,-44.4341631418183
236,"Planning",10,-14.8095970218907
237,"Equality",0,-56.1449216253556
237,"Equity",0,-56.1449216253556
237,"Exploitation",2.5,-47.084029036759
237,"General",0,-56.1449216253556
237,"Learning",2.5,-48.37236356987
237,"Planning",5,-32.4977780603129
238,"Equality",0,-56.1449216253556
238,"Equity",1,-52.4594772611993
238,"Exploitation",0,-56.1449216253556
238,"General",0,-56.1449216253556
238,"Learning",3,-46.2941631418184
238,"Planning",5.5,-29.5031039533852
239,"Equality",0,-56.1449216253556
239,"Equity",2,-45.4940675263042
