"subject","model","beta","log_likelihood"
239,"Exploitation",0,-56.1449216253556
239,"General",0,-56.1449216253556
239,"Learning",2,-49.5599175518354
239,"Planning",5.5,-29.4481039533851
240,"Equality",0,-56.1449216253556
240,"Equity",1,-53.1794772611993
240,"Exploitation",0,-56.1449216253556
240,"General",0,-56.1449216253556
240,"Learning",2,-50.0799175518354
240,"Planning",4.5,-35.781615241022
241,"Equality",0,-56.1449216253556
241,"Equity",2.5,-41.3301326341326
241,"Exploitation",0,-56.1449216253556
241,"General",0,-56.1449216253556
241,"Learning",2.5,-48.54736356987
241,"Planning",5,-32.4977780603129
242,"Equality",0,-56.1449216253556
242,"Equity",0.5,-55.669040274033
242,"Exploitation",1,-54.9236448700215
242,"General",0,-56.1449216253556
242,"Learning",3,-45.3941631418183
242,"Planning",2.5,-46.7096704093765
243,"Equality",0,-56.1449216253556
243,"Equity",1,-53.6094772611993
243,"Exploitation",0.5,-56.1188136516196
243,"General",0,-56.1449216253556
243,"Learning",2.5,-47.19736356987
243,"Planning",5,-32.1477780603129
244,"Equality",0,-56.1449216253556
244,"Equity",1.5,-49.1526792690679
244,"Exploitation",0,-56.1449216253556
244,"General",0,-56.1449216253556
244,"Learning",1.5,-52.1090487456891
244,"Planning",2,-50.7214788968314
245,"Equality",0,-56.1449216253556
245,"Equity",0.5,-56.039040274033
245,"Exploitation",1,-54.6136448700215
245,"General",0,-56.1449216253556
245,"Learning",3,-45.7541631418183
245,"Planning",9,-19.0964434296446
246,"Equality",0,-56.1449216253556
246,"Equity",0.5,-55.384040274033
246,"Exploitation",0,-56.1449216253556
246,"General",0,-56.1449216253556
246,"Learning",0.5,-55.485148757543
246,"Planning",1,-54.9408901397218
247,"Equality",0,-56.1449216253556
247,"Equity",1,-51.7094772611993
247,"Exploitation",0,-56.1449216253556
247,"General",0,-56.1449216253556
247,"Learning",2.5,-47.69736356987
247,"Planning",3.5,-42.2028215062908
248,"Equality",0,-56.1449216253556
248,"Equity",0,-56.1449216253556
248,"Exploitation",1.5,-52.348476014878
248,"General",0,-56.1449216253556
248,"Learning",3.5,-42.8598061717322
248,"Planning",10,-10.2095970218907
249,"Equality",0,-56.1449216253556
249,"Equity",1,-54.3994772611993
249,"Exploitation",0,-56.1449216253556
249,"General",0,-56.1449216253556
249,"Learning",0.5,-55.710148757543
249,"Planning",1,-54.5008901397218
250,"Equality",0,-56.1449216253556
250,"Equity",0,-56.1449216253556
250,"Exploitation",1.5,-53.518476014878
250,"General",0,-56.1449216253556
250,"Learning",1.5,-53.3690487456892
250,"Planning",1,-54.2808901397218
251,"Equality",0,-56.1449216253556
251,"Equity",0.5,-55.764040274033
251,"Exploitation",0.5,-55.4438136516197
251,"General",0,-56.1449216253556
251,"Learning",2.5,-48.9973635698701
251,"Planning",5.5,-30.2731039533852
252,"Equality",0,-56.1449216253556
252,"Equity",0.5,-55.939040274033
252,"Exploitation",1,-54.2336448700215
252,"General",0,-56.1449216253556
252,"Learning",3.5,-42.6498061717322
252,"Planning",3,-45.2992119785901
253,"Equality",0,-56.1449216253556
253,"Equity",0.5,-55.4590402740329
253,"Exploitation",1,-54.8536448700215
253,"General",0,-56.1449216253556
253,"Learning",3.5,-43.6298061717322
253,"Planning",4,-37.8929446823157
254,"Equality",0,-56.1449216253556
254,"Equity",1.5,-51.1176792690679
254,"Exploitation",0,-56.1449216253556
254,"General",0,-56.1449216253556
254,"Learning",2.5,-48.09736356987
254,"Planning",3.5,-41.9928215062908
255,"Equality",0,-56.1449216253556
255,"Equity",0,-56.1449216253556
255,"Exploitation",2.5,-47.434029036759
255,"General",0,-56.1449216253556
255,"Learning",3.5,-43.3848061717322
255,"Planning",3,-45.4192119785901
256,"Equality",0,-56.1449216253556
256,"Equity",2,-46.1340675263042
256,"Exploitation",0,-56.1449216253556
256,"General",0,-56.1449216253556
256,"Learning",2.5,-48.37236356987
256,"Planning",5.5,-30.3831039533851
257,"Equality",0,-56.1449216253556
257,"Equity",0.5,-54.924040274033
257,"Exploitation",0.5,-55.9838136516196
257,"General",0,-56.1449216253556
257,"Learning",2,-50.0199175518354
257,"Planning",3.5,-43.1128215062908
258,"Equality",0,-56.1449216253556
258,"Equity",0.5,-55.869040274033
258,"Exploitation",0.5,-55.8388136516197
258,"General",0,-56.1449216253556
258,"Learning",1.5,-52.4090487456891
258,"Planning",2.5,-47.3346704093765
259,"Equality",0,-56.1449216253556
259,"Equity",0,-56.1449216253556
259,"Exploitation",2,-49.8492612665294
259,"General",0.5,-55.1984814073075
259,"Learning",9,-25.3487372557461
259,"Planning",2.5,-48.5846704093765
260,"Equality",0,-56.1449216253556
260,"Equity",0,-56.1449216253556
260,"Exploitation",1,-54.8236448700215
260,"General",0,-56.1449216253556
260,"Learning",2,-51.4199175518354
260,"Planning",3,-46.1392119785901
261,"Equality",0,-56.1449216253556
261,"Equity",1,-54.4794772611993
261,"Exploitation",0.5,-55.7088136516196
261,"General",0,-56.1449216253556
261,"Learning",3,-44.9741631418184
261,"Planning",10,-16.6095970218908
262,"Equality",0,-56.1449216253556
262,"Equity",0,-56.1449216253556
262,"Exploitation",1.5,-53.398476014878
262,"General",0,-56.1449216253556
262,"Learning",4,-40.4946344298468
262,"Planning",4,-39.0929446823157
263,"Equality",0,-56.1449216253556
263,"Equity",0,-56.1449216253556
263,"Exploitation",0,-56.1449216253556
263,"General",0,-56.1449216253556
263,"Learning",0,-56.1449216253556
263,"Planning",0.5,-55.5959783116178
264,"Equality",0,-56.1449216253556
264,"Equity",0,-56.1449216253556
264,"Exploitation",2.5,-46.684029036759
264,"General",0.5,-55.1484814073075
264,"Learning",5,-35.5824985392701
264,"Planning",0.5,-55.5159783116178
265,"Equality",0,-56.1449216253556
265,"Equity",2.5,-43.1801326341326
265,"Exploitation",0,-56.1449216253556
265,"General",0,-56.1449216253556
265,"Learning",2,-49.8599175518355
265,"Planning",4,-38.1729446823157
266,"Equality",0,-56.1449216253556
266,"Equity",0,-56.1449216253556
266,"Exploitation",1.5,-53.683476014878
266,"General",0,-56.1449216253556
266,"Learning",3.5,-44.1548061717322
266,"Planning",10,-13.9095970218907
267,"Equality",0,-56.1449216253556
267,"Equity",1,-52.4894772611993
267,"Exploitation",0,-56.1449216253556
267,"General",0,-56.1449216253556
267,"Learning",2.5,-48.39736356987
267,"Planning",5,-32.1977780603129
268,"Equality",0,-56.1449216253556
268,"Equity",1,-53.1094772611994
268,"Exploitation",0,-56.1449216253556
268,"General",0.5,-55.6284814073074
268,"Learning",0.5,-55.845148757543
268,"Planning",1.5,-54.0080004190764
269,"Equality",0,-56.1449216253556
269,"Equity",3,-37.5806287894952
269,"Exploitation",0,-56.1449216253556
269,"General",0,-56.1449216253556
269,"Learning",1.5,-52.5440487456891
269,"Planning",3.5,-41.7128215062908
270,"Equality",0,-56.1449216253556
270,"Equity",2.5,-44.4301326341326
270,"Exploitation",0,-56.1449216253556
270,"General",0,-56.1449216253556
270,"Learning",2.5,-48.74736356987
270,"Planning",6,-27.3669436350774
271,"Equality",0,-56.1449216253556
271,"Equity",0,-56.1449216253556
271,"Exploitation",2,-49.5492612665294
271,"General",0,-56.1449216253556
271,"Learning",4,-40.6946344298468
271,"Planning",3,-44.0992119785901
272,"Equality",0,-56.1449216253556
272,"Equity",0,-56.1449216253556
272,"Exploitation",4,-36.5366401935669
272,"General",0,-56.1449216253556
272,"Learning",2,-49.8999175518354
272,"Planning",5.5,-30.3831039533852
273,"Equality",0,-56.1449216253556
273,"Equity",0.5,-55.469040274033
273,"Exploitation",1,-54.8336448700215
273,"General",1.5,-49.5848992294971
273,"Learning",3.5,-43.5598061717322
273,"Planning",1,-55.4408901397218
274,"Equality",0,-56.1449216253556
274,"Equity",0,-56.1449216253556
274,"Exploitation",0.5,-55.4338136516196
274,"General",0.5,-56.0834814073074
274,"Learning",0.5,-55.350148757543
274,"Planning",0.5,-56.0009783116178
275,"Equality",0,-56.1449216253556
275,"Equity",2,-44.6340675263042
275,"Exploitation",0,-56.1449216253556
275,"General",0,-56.1449216253556
275,"Learning",2.5,-48.29736356987
275,"Planning",6,-28.6869436350775
276,"Equality",0,-56.1449216253556
276,"Equity",0,-56.1449216253556
276,"Exploitation",2.5,-46.484029036759
276,"General",0,-56.1449216253556
276,"Learning",2.5,-47.27236356987
276,"Planning",4.5,-34.881615241022
277,"Equality",0,-56.1449216253556
277,"Equity",0,-56.1449216253556
277,"Exploitation",1,-54.0836448700215
277,"General",0.5,-55.3434814073075
277,"Learning",0.5,-55.850148757543
277,"Planning",0,-56.1449216253556
278,"Equality",0,-56.1449216253556
278,"Equity",0.5,-55.904040274033
278,"Exploitation",0.5,-55.4138136516196
278,"General",0,-56.1449216253556
278,"Learning",2,-49.3799175518354
278,"Planning",6,-28.9269436350774
279,"Equality",0,-56.1449216253556
279,"Equity",0.5,-55.674040274033
279,"Exploitation",0.5,-55.5288136516196
279,"General",0,-56.1449216253556
279,"Learning",2,-49.3799175518354
279,"Planning",3,-44.7292119785901
280,"Equality",0,-56.1449216253556
280,"Equity",1,-53.0894772611993
280,"Exploitation",0,-56.1449216253556
280,"General",0,-56.1449216253556
280,"Learning",3,-46.2041631418183
280,"Planning",5,-34.247778060313
281,"Equality",0,-56.1449216253556
281,"Equity",1,-52.4394772611993
281,"Exploitation",0,-56.1449216253556
281,"General",0,-56.1449216253556
281,"Learning",3,-45.9341631418183
281,"Planning",6,-28.8069436350775
282,"Equality",0,-56.1449216253556
282,"Equity",2,-45.9540675263042
282,"Exploitation",0,-56.1449216253556
282,"General",0,-56.1449216253556
282,"Learning",1,-54.0403731994091
282,"Planning",3,-45.1792119785901
283,"Equality",0,-56.1449216253556
283,"Equity",0.5,-55.289040274033
283,"Exploitation",0.5,-56.0738136516196
283,"General",0,-56.1449216253556
283,"Learning",1.5,-52.0790487456891
283,"Planning",2.5,-46.8596704093766
284,"Equality",0,-56.1449216253556
284,"Equity",0.5,-54.584040274033
284,"Exploitation",0.5,-55.7388136516197
284,"General",2,-45.9692374051018
284,"Learning",3,-45.9041631418184
284,"Planning",1,-55.0408901397218
285,"Equality",0,-56.1449216253556
285,"Equity",0,-56.1449216253556
285,"Exploitation",2,-51.2892612665294
285,"General",0,-56.1449216253556
285,"Learning",4,-40.6946344298468
285,"Planning",3.5,-40.6278215062908
286,"Equality",0,-56.1449216253556
286,"Equity",0.5,-55.344040274033
286,"Exploitation",0.5,-55.8088136516197
286,"General",0,-56.1449216253556
286,"Learning",2,-50.2999175518354
286,"Planning",4.5,-35.286615241022
287,"Equality",0,-56.1449216253556
287,"Equity",0.5,-55.664040274033
287,"Exploitation",1,-55.3636448700214
287,"General",0,-56.1449216253556
287,"Learning",2.5,-47.79736356987
287,"Planning",3,-45.4192119785901
288,"Equality",0,-56.1449216253556
288,"Equity",1,-52.3494772611993
288,"Exploitation",0,-56.1449216253556
288,"General",0,-56.1449216253556
288,"Learning",2,-50.0999175518354
288,"Planning",5.5,-30.9331039533852
289,"Equality",0,-56.1449216253556
289,"Equity",1.5,-49.3776792690678
289,"Exploitation",0,-56.1449216253556
289,"General",0,-56.1449216253556
289,"Learning",1.5,-52.3040487456891
289,"Planning",2,-49.5814788968315
290,"Equality",0,-56.1449216253556
290,"Equity",2,-44.8340675263042
290,"Exploitation",0,-56.1449216253556
290,"General",0,-56.1449216253556
290,"Learning",0.5,-55.555148757543
290,"Planning",2,-49.6814788968315
291,"Equality",0,-56.1449216253556
291,"Equity",0.5,-55.859040274033
291,"Exploitation",1,-55.2736448700215
291,"General",0,-56.1449216253556
291,"Learning",2.5,-48.32236356987
291,"Planning",4.5,-36.771615241022
292,"Equality",0,-56.1449216253556
292,"Equity",1,-52.4494772611993
292,"Exploitation",0,-56.1449216253556
292,"General",0,-56.1449216253556
292,"Learning",2,-50.5799175518354
292,"Planning",3.5,-42.4828215062908
293,"Equality",0,-56.1449216253556
293,"Equity",0.5,-54.689040274033
293,"Exploitation",0.5,-55.6288136516197
293,"General",0,-56.1449216253556
293,"Learning",3,-45.2141631418183
293,"Planning",10,-17.4095970218907
294,"Equality",0,-56.1449216253556
294,"Equity",0,-56.1449216253556
294,"Exploitation",1,-53.9736448700215
294,"General",0,-56.1449216253556
294,"Learning",3.5,-43.5598061717322
294,"Planning",10,-12.2095970218907
295,"Equality",0,-56.1449216253556
295,"Equity",0,-56.1449216253556
295,"Exploitation",1.5,-52.408476014878
295,"General",0,-56.1449216253556
295,"Learning",1,-54.3503731994091
295,"Planning",1,-54.7608901397218
296,"Equality",0,-56.1449216253556
296,"Equity",0,-56.1449216253556
296,"Exploitation",1.5,-52.513476014878
296,"General",0,-56.1449216253556
296,"Learning",5,-36.33249853927
296,"Planning",3,-44.6992119785901
297,"Equality",0,-56.1449216253556
297,"Equity",3,-38.9606287894952
297,"Exploitation",0,-56.1449216253556
297,"General",0,-56.1449216253556
297,"Learning",2,-49.7399175518355
297,"Planning",5.5,-29.9431039533852
298,"Equality",0,-56.1449216253556
298,"Equity",2,-46.8340675263042
298,"Exploitation",0,-56.1449216253556
298,"General",0,-56.1449216253556
298,"Learning",2.5,-48.09736356987
298,"Planning",5.5,-29.7781039533851
299,"Equality",0,-56.1449216253556
299,"Equity",0.5,-54.779040274033
299,"Exploitation",0.5,-55.7788136516197
299,"General",0,-56.1449216253556
299,"Learning",2.5,-47.42236356987
299,"Planning",5,-34.1477780603129
300,"Equality",0,-56.1449216253556
300,"Equity",1,-52.3294772611993
300,"Exploitation",0,-56.1449216253556
300,"General",0,-56.1449216253556
300,"Learning",0,-56.1449216253556
300,"Planning",0,-56.1449216253556
301,"Equality",0,-56.1449216253556
301,"Equity",0,-56.1449216253556
301,"Exploitation",2,-49.4692612665294
301,"General",0,-56.1449216253556
301,"Learning",3,-44.7341631418183
301,"Planning",4,-39.3329446823157
302,"Equality",0,-56.1449216253556
302,"Equity",0,-56.1449216253556
302,"Exploitation",2,-50.3092612665294
302,"General",0,-56.1449216253556
302,"Learning",5,-37.23249853927
302,"Planning",2.5,-48.0846704093765
303,"Equality",0,-56.1449216253556
303,"Equity",4.5,-31.8212481428502
303,"Exploitation",0,-56.1449216253556
303,"General",0,-56.1449216253556
303,"Learning",2,-49.3999175518355
303,"Planning",5,-34.2477780603129
304,"Equality",0,-56.1449216253556
304,"Equity",0,-56.1449216253556
304,"Exploitation",3,-43.7052061136251
304,"General",0,-56.1449216253556
304,"Learning",2,-49.8199175518354
304,"Planning",4.5,-35.781615241022
305,"Equality",0,-56.1449216253556
305,"Equity",2,-45.6340675263042
305,"Exploitation",0,-56.1449216253556
305,"General",0,-56.1449216253556
305,"Learning",2,-51.0999175518354
305,"Planning",4,-38.4929446823157
306,"Equality",0,-56.1449216253556
306,"Equity",1,-53.4694772611993
306,"Exploitation",0,-56.1449216253556
306,"General",0,-56.1449216253556
306,"Learning",2.5,-47.69736356987
306,"Planning",7,-24.6226287109822
307,"Equality",0,-56.1449216253556
307,"Equity",0,-56.1449216253556
307,"Exploitation",2,-49.1892612665294
307,"General",0.5,-55.9034814073075
307,"Learning",5.5,-35.3228023260045
307,"Planning",1.5,-52.3730004190764
308,"Equality",0,-56.1449216253556
308,"Equity",0.5,-54.859040274033
308,"Exploitation",0,-56.1449216253556
308,"General",0,-56.1449216253556
308,"Learning",1.5,-52.3190487456891
308,"Planning",4.5,-36.771615241022
309,"Equality",0,-56.1449216253556
309,"Equity",0,-56.1449216253556
309,"Exploitation",4,-35.2966401935669
309,"General",0,-56.1449216253556
309,"Learning",3.5,-44.0148061717322
309,"Planning",3,-45.0292119785901
310,"Equality",0,-56.1449216253556
310,"Equity",3,-40.8506287894951
310,"Exploitation",0,-56.1449216253556
310,"General",0,-56.1449216253556
310,"Learning",1,-54.0503731994091
310,"Planning",2.5,-48.2346704093766
311,"Equality",0,-56.1449216253556
311,"Equity",1.5,-51.2976792690679
311,"Exploitation",0,-56.1449216253556
311,"General",0,-56.1449216253556
311,"Learning",2.5,-47.34736356987
311,"Planning",3,-43.3492119785901
312,"Equality",0,-56.1449216253556
312,"Equity",0,-56.1449216253556
312,"Exploitation",0,-56.1449216253556
312,"General",0,-56.1449216253556
312,"Learning",0,-56.1449216253556
312,"Planning",0.5,-55.7259783116178
313,"Equality",0,-56.1449216253556
313,"Equity",0,-56.1449216253556
313,"Exploitation",1.5,-52.348476014878
313,"General",0,-56.1449216253556
313,"Learning",3.5,-42.8598061717322
313,"Planning",10,-10.2095970218907
314,"Equality",0,-56.1449216253556
314,"Equity",3,-40.1006287894951
314,"Exploitation",0,-56.1449216253556
314,"General",0,-56.1449216253556
314,"Learning",1.5,-52.0640487456891
314,"Planning",3.5,-40.5928215062908
315,"Equality",0,-56.1449216253556
315,"Equity",0,-56.1449216253556
315,"Exploitation",1.5,-52.348476014878
315,"General",0,-56.1449216253556
315,"Learning",3.5,-42.8598061717322
315,"Planning",10,-10.2095970218907
316,"Equality",0,-56.1449216253556
316,"Equity",1,-54.2894772611993
316,"Exploitation",0,-56.1449216253556
316,"General",0.5,-55.2584814073074
316,"Learning",0,-56.1449216253556
316,"Planning",0,-56.1449216253556
317,"Equality",0,-56.1449216253556
317,"Equity",0,-56.1449216253556
317,"Exploitation",2,-50.7492612665294
317,"General",0,-56.1449216253556
317,"Learning",2.5,-49.17236356987
317,"Planning",5,-33.7477780603129
318,"Equality",0,-56.1449216253556
318,"Equity",0.5,-55.554040274033
318,"Exploitation",1,-54.7736448700215
318,"General",0.5,-55.8684814073075
318,"Learning",3.5,-43.7348061717322
318,"Planning",1,-54.2608901397218
319,"Equality",0,-56.1449216253556
319,"Equity",0,-56.1449216253556
319,"Exploitation",2,-50.9892612665295
319,"General",0,-56.1449216253556
319,"Learning",3.5,-43.4198061717322
319,"Planning",10,-11.8095970218907
320,"Equality",0,-56.1449216253556
320,"Equity",0.5,-54.614040274033
320,"Exploitation",0,-56.1449216253556
320,"General",0,-56.1449216253556
320,"Learning",1.5,-51.7940487456891
320,"Planning",2.5,-47.9846704093766
321,"Equality",0,-56.1449216253556
321,"Equity",4,-33.6219000495136
321,"Exploitation",0,-56.1449216253556
321,"General",0,-56.1449216253556
321,"Learning",2,-50.2999175518355
321,"Planning",5.5,-31.4831039533852
322,"Equality",0,-56.1449216253556
322,"Equity",1.5,-51.0126792690679
322,"Exploitation",0,-56.1449216253556
322,"General",0,-56.1449216253556
322,"Learning",2,-50.3199175518354
322,"Planning",3,-44.8492119785901
323,"Equality",0,-56.1449216253556
323,"Equity",2,-47.9340675263042
323,"Exploitation",0,-56.1449216253556
323,"General",0,-56.1449216253556
323,"Learning",2.5,-48.67236356987
323,"Planning",4.5,-34.431615241022
324,"Equality",0,-56.1449216253556
324,"Equity",1,-53.5694772611993
324,"Exploitation",0.5,-56.0388136516197
324,"General",0,-56.1449216253556
324,"Learning",3,-46.2041631418184
324,"Planning",2.5,-48.6346704093766
325,"Equality",0,-56.1449216253556
325,"Equity",0,-56.1449216253556
325,"Exploitation",1.5,-52.348476014878
325,"General",0,-56.1449216253556
325,"Learning",3.5,-42.8598061717322
325,"Planning",10,-10.2095970218907
326,"Equality",0,-56.1449216253556
326,"Equity",0,-56.1449216253556
326,"Exploitation",1,-54.6736448700214
326,"General",0,-56.1449216253556
326,"Learning",2.5,-47.17236356987
326,"Planning",3,-45.1492119785901
