"subject","model","beta","log_likelihood"
423,"Learning",2.5,-47.14736356987
423,"Planning",0.5,-56.0415901523299
424,"Equality",0,-56.1449216253556
424,"Equity",3.5,-36.4304211310804
424,"Exploitation",0,-56.1449216253556
424,"General",0.5,-55.4134814073074
424,"Learning",2.5,-47.47236356987
424,"Planning",4.5,-40.7918816082792
425,"Equality",0,-56.1449216253556
425,"Equity",2.5,-42.1051326341326
425,"Exploitation",0,-56.1449216253556
425,"General",0,-56.1449216253556
425,"Learning",1,-54.3903731994091
425,"Planning",10,-7.25599132092199
426,"Equality",0,-56.1449216253556
426,"Equity",2.5,-41.2301326341326
426,"Exploitation",0,-56.1449216253556
426,"General",0,-56.1449216253556
426,"Learning",1,-54.0403731994091
426,"Planning",10,-3.75599132092199
427,"Equality",0,-56.1449216253556
427,"Equity",2.5,-42.9051326341326
427,"Exploitation",0,-56.1449216253556
427,"General",0,-56.1449216253556
427,"Learning",1.5,-52.4090487456891
427,"Planning",6,-34.7816191190739
428,"Equality",0,-56.1449216253556
428,"Equity",2.5,-41.2301326341326
428,"Exploitation",0,-56.1449216253556
428,"General",0,-56.1449216253556
428,"Learning",1,-54.0403731994091
428,"Planning",10,-3.75599132092199
429,"Equality",0,-56.1449216253556
429,"Equity",1.5,-50.8176792690679
429,"Exploitation",0,-56.1449216253556
429,"General",0.5,-55.7884814073075
429,"Learning",1.5,-52.3340487456891
429,"Planning",3.5,-46.5409516772309
430,"Equality",0,-56.1449216253556
430,"Equity",0.5,-54.754040274033
430,"Exploitation",0,-56.1449216253556
430,"General",0,-56.1449216253556
430,"Learning",1,-55.1803731994091
430,"Planning",2,-52.517590690713
431,"Equality",0,-56.1449216253556
431,"Equity",3,-40.8206287894951
431,"Exploitation",0,-56.1449216253556
431,"General",0,-56.1449216253556
431,"Learning",1,-53.8803731994091
431,"Planning",10,-12.155991320922
432,"Equality",0,-56.1449216253556
432,"Equity",0.5,-55.099040274033
432,"Exploitation",0.5,-55.8238136516197
432,"General",1.5,-49.824899229497
432,"Learning",2,-49.4399175518354
432,"Planning",1.5,-54.2687149422812
433,"Equality",0,-56.1449216253556
433,"Equity",3,-38.0306287894952
433,"Exploitation",0,-56.1449216253556
433,"General",0,-56.1449216253556
433,"Learning",1.5,-52.5290487456891
433,"Planning",10,-15.055991320922
434,"Equality",0,-56.1449216253556
434,"Equity",3,-38.1506287894952
434,"Exploitation",0,-56.1449216253556
434,"General",0,-56.1449216253556
434,"Learning",1,-54.4903731994091
434,"Planning",3.5,-47.2409516772309
435,"Equality",0,-56.1449216253556
435,"Equity",3,-39.9506287894951
435,"Exploitation",0,-56.1449216253556
435,"General",0,-56.1449216253556
435,"Learning",1.5,-53.4890487456891
435,"Planning",10,-9.25599132092199
436,"Equality",0,-56.1449216253556
436,"Equity",3,-39.9506287894951
436,"Exploitation",0,-56.1449216253556
436,"General",0,-56.1449216253556
436,"Learning",1.5,-53.4890487456891
436,"Planning",10,-9.25599132092199
437,"Equality",0,-56.1449216253556
437,"Equity",0.5,-55.114040274033
437,"Exploitation",0.5,-55.5188136516197
437,"General",2,-47.7692374051018
437,"Learning",3,-46.4441631418183
437,"Planning",0,-56.1449216253556
438,"Equality",0,-56.1449216253556
438,"Equity",3,-39.5306287894952
438,"Exploitation",0,-56.1449216253556
438,"General",0,-56.1449216253556
438,"Learning",1,-54.3303731994091
438,"Planning",9,-18.3557726502541
439,"Equality",0,-56.1449216253556
439,"Equity",3,-39.3506287894951
439,"Exploitation",0,-56.1449216253556
439,"General",0,-56.1449216253556
439,"Learning",1.5,-53.1890487456891
439,"Planning",10,-7.25599132092199
441,"Equality",0,-56.1449216253556
441,"Equity",3,-38.9306287894952
441,"Exploitation",0,-56.1449216253556
441,"General",0,-56.1449216253556
441,"Learning",1,-54.7503731994092
441,"Planning",4.5,-43.0868816082792
442,"Equality",0,-56.1449216253556
442,"Equity",0,-56.1449216253556
442,"Exploitation",0,-56.1449216253556
442,"General",0,-56.1449216253556
442,"Learning",0,-56.1449216253556
442,"Planning",0,-56.1449216253556
443,"Equality",0,-56.1449216253556
443,"Equity",2,-45.5740675263042
443,"Exploitation",0,-56.1449216253556
443,"General",0,-56.1449216253556
443,"Learning",1,-53.8903731994091
443,"Planning",6,-34.661619119074
444,"Equality",0,-56.1449216253556
444,"Equity",2.5,-41.2301326341326
444,"Exploitation",0,-56.1449216253556
444,"General",0,-56.1449216253556
444,"Learning",1,-54.0403731994091
444,"Planning",10,-3.75599132092199
445,"Equality",0,-56.1449216253556
445,"Equity",3.5,-37.5504211310804
445,"Exploitation",0,-56.1449216253556
445,"General",0,-56.1449216253556
445,"Learning",1.5,-52.2890487456891
445,"Planning",8,-22.7070365361153
446,"Equality",0,-56.1449216253556
446,"Equity",3,-40.3706287894952
446,"Exploitation",0,-56.1449216253556
446,"General",0,-56.1449216253556
446,"Learning",1.5,-52.1990487456891
446,"Planning",7.5,-26.139650081113
447,"Equality",0,-56.1449216253556
447,"Equity",0,-56.1449216253556
447,"Exploitation",0,-56.1449216253556
447,"General",0,-56.1449216253556
447,"Learning",0,-56.1449216253556
447,"Planning",0,-56.1449216253556
448,"Equality",0,-56.1449216253556
448,"Equity",1,-52.6994772611993
448,"Exploitation",0,-56.1449216253556
448,"General",0,-56.1449216253556
448,"Learning",0,-56.1449216253556
448,"Planning",0,-56.1449216253556
449,"Equality",0,-56.1449216253556
449,"Equity",0,-56.1449216253556
449,"Exploitation",2.5,-45.584029036759
449,"General",0.5,-55.0134814073075
449,"Learning",2.5,-48.57236356987
449,"Planning",0,-56.1449216253556
450,"Equality",0,-56.1449216253556
450,"Equity",2.5,-41.2301326341326
450,"Exploitation",0,-56.1449216253556
450,"General",0,-56.1449216253556
450,"Learning",1,-54.0403731994091
450,"Planning",10,-3.75599132092199
451,"Equality",0,-56.1449216253556
451,"Equity",0.5,-54.699040274033
451,"Exploitation",0.5,-55.9938136516197
451,"General",0.5,-56.0834814073075
451,"Learning",2.5,-49.17236356987
451,"Planning",4,-44.2558990253305
452,"Equality",0,-56.1449216253556
452,"Equity",2,-46.4140675263042
452,"Exploitation",0,-56.1449216253556
452,"General",0,-56.1449216253556
452,"Learning",2,-50.6399175518354
452,"Planning",7,-29.6432348399141
453,"Equality",0,-56.1449216253556
453,"Equity",2,-46.5540675263042
453,"Exploitation",0,-56.1449216253556
453,"General",0,-56.1449216253556
453,"Learning",1,-54.5403731994091
453,"Planning",1.5,-54.0137149422813
454,"Equality",0,-56.1449216253556
454,"Equity",2.5,-44.2801326341326
454,"Exploitation",0,-56.1449216253556
454,"General",0,-56.1449216253556
454,"Learning",1.5,-52.9940487456891
454,"Planning",10,-15.955991320922
455,"Equality",0,-56.1449216253556
455,"Equity",1,-52.2594772611993
455,"Exploitation",0,-56.1449216253556
455,"General",0,-56.1449216253556
455,"Learning",1,-55.1903731994091
455,"Planning",4.5,-43.0418816082792
456,"Equality",0,-56.1449216253556
456,"Equity",0.5,-56.004040274033
456,"Exploitation",1,-54.2436448700215
456,"General",1,-54.2439108325692
456,"Learning",3.5,-43.1748061717322
456,"Planning",0.5,-55.9415901523299
457,"Equality",0,-56.1449216253556
457,"Equity",1.5,-50.2026792690679
457,"Exploitation",0,-56.1449216253556
457,"General",0,-56.1449216253556
457,"Learning",2.5,-48.6223635698701
457,"Planning",5,-39.8247674457603
458,"Equality",0,-56.1449216253556
458,"Equity",2.5,-40.9551326341326
458,"Exploitation",0,-56.1449216253556
