"subject","model","beta","log_likelihood"
1,"Equality",0,-56.1449216253556
1,"Equity",0,-56.1449216253556
1,"Exploitation",2,-49.8492612665294
1,"General",0,-56.1449216253556
1,"Learning",3.5,-42.5098061717322
1,"Planning",5.5,-31.1300137936086
2,"Equality",0,-56.1449216253556
2,"Equity",0,-56.1449216253556
2,"Exploitation",1.5,-51.853476014878
2,"General",2,-46.1892374051018
2,"Learning",1.5,-52.0190487456891
2,"Planning",2.5,-47.7540975677738
4,"Equality",0,-56.1449216253556
4,"Equity",0,-56.1449216253556
4,"Exploitation",5,-30.0379576084487
4,"General",0,-56.1449216253556
4,"Learning",4,-39.7746344298468
4,"Planning",10,-17.4715147934974
5,"Equality",0,-56.1449216253556
5,"Equity",0,-56.1449216253556
5,"Exploitation",3.5,-38.6301765531294
5,"General",0,-56.1449216253556
5,"Learning",4,-40.6946344298468
5,"Planning",10,-9.77151479349735
6,"Equality",0,-56.1449216253556
6,"Equity",0,-56.1449216253556
6,"Exploitation",2.5,-45.934029036759
6,"General",0.5,-55.8384814073075
6,"Learning",3,-45.3041631418183
6,"Planning",6,-29.0508666568679
7,"Equality",0,-56.1449216253556
7,"Equity",0,-56.1449216253556
7,"Exploitation",1.5,-51.658476014878
7,"General",1,-53.7039108325693
7,"Learning",1.5,-52.8140487456891
7,"Planning",4,-40.4986255454331
8,"Equality",0,-56.1449216253556
8,"Equity",0,-56.1449216253556
8,"Exploitation",3,-44.6652061136251
8,"General",0,-56.1449216253556
8,"Learning",1.5,-52.2740487456891
8,"Planning",4,-39.0586255454331
9,"Equality",0,-56.1449216253556
9,"Equity",0,-56.1449216253556
9,"Exploitation",2.5,-46.734029036759
9,"General",0.5,-56.0034814073075
9,"Learning",2.5,-46.77236356987
9,"Planning",2,-51.0923746036943
10,"Equality",0,-56.1449216253556
10,"Equity",1.5,-49.6326792690679
10,"Exploitation",0,-56.1449216253556
10,"General",0,-56.1449216253556
10,"Learning",1.5,-53.0690487456891
10,"Planning",1,-54.9865387879673
11,"Equality",0,-56.1449216253556
11,"Equity",0,-56.1449216253556
11,"Exploitation",1.5,-51.988476014878
11,"General",0,-56.1449216253556
11,"Learning",3,-44.3741631418184
11,"Planning",5,-33.9084032943561
12,"Equality",0,-56.1449216253556
12,"Equity",0.5,-55.039040274033
12,"Exploitation",1,-55.1936448700215
12,"General",0,-56.1449216253556
12,"Learning",3.5,-43.0698061717322
12,"Planning",1.5,-54.2026976549851
13,"Equality",0,-56.1449216253556
13,"Equity",0,-56.1449216253556
13,"Exploitation",1.5,-52.123476014878
13,"General",0,-56.1449216253556
13,"Learning",3,-46.2041631418183
13,"Planning",4,-39.9386255454331
14,"Equality",0,-56.1449216253556
14,"Equity",0,-56.1449216253556
14,"Exploitation",0,-56.1449216253556
14,"General",0,-56.1449216253556
14,"Learning",0.5,-55.695148757543
14,"Planning",1.5,-54.1876976549851
15,"Equality",0,-56.1449216253556
15,"Equity",0,-56.1449216253556
15,"Exploitation",2.5,-46.484029036759
15,"General",1,-52.7939108325693
15,"Learning",3,-44.2541631418184
15,"Planning",5.5,-30.8550137936086
16,"Equality",0,-56.1449216253556
16,"Equity",0,-56.1449216253556
16,"Exploitation",2,-50.5692612665295
16,"General",2.5,-42.1124292148254
16,"Learning",1.5,-52.1240487456891
16,"Planning",3,-45.2045953958565
