Planning,Exploitation,Learning,Equity,Equality,General
0.999998104950467,2.40685654485282e-10,1.89480783652938e-06,7.76554690722285e-13,1.74382137627827e-14,2.16912985556221e-13
0.92704775941671,0.000498748475936213,0.00216074927864878,1.19405086838541e-05,2.6813455040976e-07,0.0702805341854711
0.999999886835231,1.13130600133767e-07,3.41684433652381e-11,9.08577702208395e-19,2.04029057843578e-20,2.53790627177237e-19
0.999999999999984,9.50515830944715e-15,6.16604669020833e-15,4.11428727884016e-22,9.23899139456363e-24,1.14923307753009e-22
0.999999984001575,1.509567878913e-09,1.44887209190004e-08,9.70981006917594e-14,2.18042264898074e-15,3.68476279175909e-14
0.999998756307654,4.61801026488969e-07,7.43406154048212e-07,9.09722041242994e-09,2.04286029167567e-10,2.91836588123124e-08
0.999880527431459,0.00011916755237737,3.02210652805328e-07,2.15512921360423e-09,4.8395308614121e-11,6.01986592274032e-10
0.0624756315348804,0.158355443395628,0.779138453302201,2.26687029146204e-05,5.09045521034056e-07,7.29401885533937e-06
0.0707038256338456,0.000720245495412993,0.0797894162807098,0.848406263591388,2.82945568049136e-05,0.000351954441838688
0.99999527320652,4.56077916534646e-10,4.72632113320712e-06,1.24971230581916e-11,2.80633812289315e-13,3.49078861515147e-12
8.81576177926567e-05,1.0617294174252e-06,0.99990839619366,2.1679545274475e-06,1.61102377582628e-08,2.0039436479575e-07
0.999684674441241,1.65640534926829e-07,0.00031515315574304,5.19478265373555e-09,1.16653381209737e-10,1.45104501743384e-09
0.950793868440716,0.00435704167501973,0.0349265514728014,0.00762226615078707,0.000171164643111766,0.00212910761756332
0.999999743185183,5.29080460152069e-09,2.5151870863894e-07,5.8985026154566e-13,1.32456027524596e-14,4.70089744834126e-12
0.741023961724774,0.00011248752943148,0.00012147834713414,7.45621198624147e-07,1.67435751828071e-08,0.258741310033887
0.563967236724101,5.4939402981302e-08,0.436032708314274,1.70708770089236e-11,3.83341451614824e-13,4.76836331337403e-12
0.927811518114716,0.00075754270436866,0.00387290851637548,0.067158090843187,2.97597627717427e-05,0.000370180058581498
0.999999962751602,2.44515862513109e-12,3.72449957889965e-08,7.34998846823997e-13,1.65050409963969e-14,2.05305300643647e-13
0.999988432419527,3.57994001818732e-06,7.98764045032863e-06,3.54783449320821e-15,7.96697219483592e-17,9.91007306214769e-16
0.999991606054399,7.13544704610138e-11,8.39385952568598e-06,1.13078230929962e-11,2.53927042928541e-13,3.15858457433562e-12
0.980449971511033,0.000599074696494831,0.0189003049236589,7.38125957498937e-08,1.65752629975785e-09,5.05733986906194e-05
0.00376758500699072,0.000129284766428714,0.994652483226504,0.00127491432848205,4.80178064459379e-06,0.000170930890949724
0.999999999999429,1.23569663096194e-13,4.47593815694573e-13,3.694001690376e-19,8.29520340118507e-21,2.44190816830997e-19
0.999999999188993,7.57584049945034e-14,8.10722110684389e-10,1.86159378652928e-13,1.71518123063796e-15,2.13350453531947e-14
0.999999999999023,1.26533259779712e-16,9.76413495145827e-13,1.22645175248297e-18,2.7541045189805e-20,3.42581552143223e-19
0.778905675935361,0.0252697985869128,0.129190892592532,0.0442073188123361,0.000992713951173198,0.0214336001216854
0.999999999990787,1.42058905870534e-13,9.07055601400138e-12,3.99402625063177e-17,8.9689347530566e-19,1.11564087985696e-17
0.999998914776012,3.56072944103746e-09,1.08071040728642e-06,7.31958892890374e-10,1.64367761759575e-11,2.04456158282428e-10
0.0654547459639502,0.000243402945218339,0.932193348621986,0.00198578993644641,9.13111337838426e-06,0.000113581419020386
0.999978062286621,1.98863912329416e-05,2.04328607116212e-06,9.32338725299246e-11,2.09364803088968e-12,7.94074757733418e-09
0.999999997222585,2.70225961432318e-09,7.51539107924693e-11,1.3554509608285e-15,3.04378350711032e-17,3.7861456276169e-16
0.773666324356808,0.0250998199063016,0.128321882996182,0.0569983563142615,0.000986036406551528,0.0149275800198952
0.000166205448305113,3.13815899846047e-05,0.555366919285959,9.43310270880745e-06,2.1182855946626e-07,0.444425848744483
0.999999999975024,2.01293520263497e-15,2.49739354233506e-11,2.06475969182761e-16,4.63659820808984e-18,5.76743910713997e-17
0.999930201664475,2.09180935047362e-07,6.94670668332206e-05,5.30483227671075e-08,1.19124641602447e-09,6.7848187933319e-08
0.999962801006442,3.64809374625422e-05,7.07124382269668e-07,8.39749092384944e-09,1.88572992412048e-10,2.34564912070677e-09
0.986650762990916,0.00381938311287955,0.00792693283160046,0.00123132715304027,2.76505265671157e-05,0.00034394338499711
0.80587554802337,0.0204304665037356,0.104449989762339,0.035741327462861,0.000802602721880769,0.0327000655258135
