Planning,Exploitation,Learning,Equity,Equality,General
0.918341986158577,0.0308605084328022,0.050790658606445,6.0018015725004e-08,6.48210577712988e-06,3.04678383078866e-07
0.92861111345489,0.0304981378136784,0.04088408881206,6.10986826640217e-08,6.59882068887664e-06,6.38462138559605e-122
0.917360213625467,0.0313492599808113,0.0512836876368203,5.99474920893832e-08,6.47448903638362e-06,3.04320373454419e-07
0.917394183446858,0.0313133908727549,0.0512855866702463,5.99497119432301e-08,6.47472878651983e-06,3.04331642428785e-07
0.918923750838007,0.0311967051313147,0.049872998055689,6.00533469340615e-08,6.48592164194276e-06,6.30228762337157e-34
0.929018202619522,0.0303242247293562,0.0406509507093849,6.07502725278015e-08,6.56119146489245e-06,1.41135197181461e-59
0.927758926443932,0.0316383039170272,0.0405958486956686,6.06679260563986e-08,6.5522978263481e-06,3.0797761959183e-07
0.919182951918728,0.0317410660739858,0.0490693218095582,6.1101236331675e-08,6.59909649179429e-06,1.31753820686879e-35
0.952010171047159,1.14454311349452e-06,0.0479805761922782,1.2764370170047e-98,7.74421610072503e-06,3.64001347850104e-07
0.920036861792824,0.0300164902786861,0.0499397879211335,6.01337703117926e-08,6.49460758124133e-06,3.0526600531047e-07
0.918249557157891,0.0285336164483666,0.0532097163685899,5.08407079828779e-36,6.79083554605674e-06,3.19189606752016e-07
0.920001145094434,0.0300298975805261,0.0499620942535617,6.01606299346818e-08,6.4975084921528e-06,3.05402356810484e-07
4.79389376030776e-11,0.0258321511948865,0.789548358743056,0.00161834607895597,0.174785692946954,0.00821545098820903
0.918920413754281,0.0311979891820458,0.0498750508192532,6.00558187189409e-08,6.48618860130244e-06,8.10141107906362e-63
0.928018621729186,0.0312747301349633,0.0407000182011374,6.082360078813e-08,6.56911111258758e-06,2.19201056112704e-139
0.916855198150832,0.0311354446032052,0.0520025198661169,5.99354210270644e-08,6.47318532945751e-06,3.04259095324762e-07
0.999989345639637,1.09298084755758e-06,1.818441504057e-06,1.51648678908289e-67,7.39533511463487e-06,3.47602896731959e-07
0.922559105115039,0.0273614732932492,0.0500725433483308,6.02936245021894e-08,6.51187226016402e-06,3.06077496921282e-07
0.916877777632117,0.031328885697112,0.0517865012630725,5.99181334874628e-08,6.47131822907156e-06,3.04171336015335e-07
0.919164731822837,0.0299880367657313,0.0508403779068777,6.0076767744314e-08,6.48845115191755e-06,3.04976634695981e-07
0.327870839343614,0.0555609975192735,0.613161690333644,3.12512793641551e-05,0.00337522152410472,5.51748710380775e-81
0.00042237465397798,0.273142867401302,0.72633707637351,2.00305746771859e-66,9.76815712097918e-05,2.60121205189989e-33
0.917947403106805,0.0312826085880034,0.0507634496860613,5.99858636431793e-08,6.47863326653743e-06,9.67911667917509e-32
0.932638544053795,0.0184069913635761,0.0489475724519269,4.92826392125452e-36,6.58272300772738e-06,3.0940769422903e-07
