"exp","subject","trial_id","competence_structure","scenario","round","Xa","Xb","Ya","Yb","trained","weight_selected","assign_dim_a","assign_dim_b","passed_attention"
1,2,6,3,3,1,5.4,10,2,20,"Xa",2,NA,NA,NA
1,2,6,3,3,2,5.77,10,2,20,"Xa",2,NA,NA,NA
1,2,6,3,3,3,6.12,10,2,20,"Xa",2,NA,NA,NA
1,2,6,3,3,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,2,7,3,1,0,10,5,2,15,NA,NA,NA,NA,NA
1,2,7,3,1,1,10,5,3,15,"Ya",2,NA,NA,NA
1,2,7,3,1,2,10,5,3.67,15,"Ya",2,NA,NA,NA
1,2,7,3,1,3,10,5.4,3.67,15,"Xb",2,NA,NA,NA
1,2,7,3,1,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,2,8,2,3,0,5,15,5,5,NA,NA,NA,NA,NA
1,2,8,2,3,1,5,15,5.4,5,"Ya",2,NA,NA,NA
1,2,8,2,3,2,5,15,5.77,5,"Ya",2,NA,NA,NA
1,2,8,2,3,3,5,15,6.12,5,"Ya",2,NA,NA,NA
1,2,8,2,3,NA,NA,NA,NA,NA,NA,NA,"Y","X",NA
1,2,9,3,2,0,5,5,2,20,NA,NA,NA,NA,NA
1,2,9,3,2,1,5.4,5,2,20,"Xa",2,NA,NA,NA
1,2,9,3,2,2,5.77,5,2,20,"Xa",2,NA,NA,NA
1,2,9,3,2,3,6.12,5,2,20,"Xa",2,NA,NA,NA
1,2,9,3,2,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1,3,1,1,2,0,15,20,2,5,NA,NA,NA,NA,NA
1,3,1,1,2,1,15,20,3,5,"Ya",2,NA,NA,NA
1,3,1,1,2,2,15,20,3.67,5,"Ya",2,NA,NA,NA
1,3,1,1,2,3,15,20,4.21,5,"Ya",2,NA,NA,NA
1,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,"Y","X",NA
1,3,2,3,3,0,5,10,2,20,NA,NA,NA,NA,NA
1,3,2,3,3,1,5,11,2,20,"Xb",10,NA,NA,NA
1,3,2,3,3,2,5.4,11,2,20,"Xa",2,NA,NA,NA
1,3,2,3,3,3,5.77,11,2,20,"Xa",2,NA,NA,NA
1,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,3,3,2,1,0,2,10,2,2,NA,NA,NA,NA,NA
1,3,3,2,1,1,3,10,2,2,"Xa",2,NA,NA,NA
1,3,3,2,1,2,3.67,10,2,2,"Xa",2,NA,NA,NA
1,3,3,2,1,3,4.21,10,2,2,"Xa",2,NA,NA,NA
1,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,3,4,3,1,0,10,5,2,15,NA,NA,NA,NA,NA
1,3,4,3,1,1,11,5,2,15,"Xa",10,NA,NA,NA
1,3,4,3,1,2,11,5,2,15.67,"Yb",10,NA,NA,NA
1,3,4,3,1,3,11.91,5,2,15.67,"Xa",10,NA,NA,NA
1,3,4,3,1,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,3,5,2,3,0,5,15,5,5,NA,NA,NA,NA,NA
1,3,5,2,3,1,5,15.67,5,5,"Xb",10,NA,NA,NA
1,3,5,2,3,2,5.4,15.67,5,5,"Xa",2,NA,NA,NA
1,3,5,2,3,3,5.77,15.67,5,5,"Xa",2,NA,NA,NA
1,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,3,6,1,3,0,15,20,5,6,NA,NA,NA,NA,NA
1,3,6,1,3,1,15.67,20,5,6,"Xa",10,NA,NA,NA
1,3,6,1,3,2,16.31,20,5,6,"Xa",10,NA,NA,NA
1,3,6,1,3,3,16.31,20.5,5,6,"Xb",10,NA,NA,NA
1,3,6,1,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,3,7,1,1,0,10,15,2,5,NA,NA,NA,NA,NA
1,3,7,1,1,1,10,15.67,2,5,"Xb",10,NA,NA,NA
1,3,7,1,1,2,10,16.31,2,5,"Xb",10,NA,NA,NA
1,3,7,1,1,3,10,16.92,2,5,"Xb",10,NA,NA,NA
1,3,7,1,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,3,8,2,2,0,2,15,2,2,NA,NA,NA,NA,NA
1,3,8,2,2,1,3,15,2,2,"Xa",2,NA,NA,NA
1,3,8,2,2,2,3.67,15,2,2,"Xa",2,NA,NA,NA
1,3,8,2,2,3,3.67,15.67,2,2,"Xb",10,NA,NA,NA
1,3,8,2,2,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,3,9,3,2,0,5,5,2,20,NA,NA,NA,NA,NA
1,3,9,3,2,1,5.4,5,2,20,"Xa",2,NA,NA,NA
1,3,9,3,2,2,5.4,5,2,20.5,"Yb",10,NA,NA,NA
1,3,9,3,2,3,5.4,5,2,20.99,"Yb",10,NA,NA,NA
1,3,9,3,2,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1,4,1,2,3,0,5,15,5,5,NA,NA,NA,NA,NA
1,4,1,2,3,1,5,15.67,5,5,"Xb",10,NA,NA,NA
1,4,1,2,3,2,5,16.31,5,5,"Xb",10,NA,NA,NA
1,4,1,2,3,3,5,16.92,5,5,"Xb",10,NA,NA,NA
1,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,4,2,3,2,0,5,5,2,20,NA,NA,NA,NA,NA
1,4,2,3,2,1,5,5,2,20.5,"Yb",10,NA,NA,NA
1,4,2,3,2,2,5,5,3,20.5,"Ya",2,NA,NA,NA
1,4,2,3,2,3,5,5,3,20.99,"Yb",10,NA,NA,NA
1,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,4,3,3,3,0,5,10,2,20,NA,NA,NA,NA,NA
1,4,3,3,3,1,5,10,2,20.5,"Yb",10,NA,NA,NA
1,4,3,3,3,2,5,10,2,20.99,"Yb",10,NA,NA,NA
1,4,3,3,3,3,5,10,2,21.47,"Yb",10,NA,NA,NA
1,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,4,4,2,2,0,2,15,2,2,NA,NA,NA,NA,NA
1,4,4,2,2,1,3,15,2,2,"Xa",2,NA,NA,NA
1,4,4,2,2,2,3,15.67,2,2,"Xb",10,NA,NA,NA
1,4,4,2,2,3,3.67,15.67,2,2,"Xa",2,NA,NA,NA
1,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,4,5,3,1,0,10,5,2,15,NA,NA,NA,NA,NA
1,4,5,3,1,1,11,5,2,15,"Xa",10,NA,NA,NA
1,4,5,3,1,2,11.91,5,2,15,"Xa",10,NA,NA,NA
1,4,5,3,1,3,11.91,5,2,15.67,"Yb",10,NA,NA,NA
1,4,5,3,1,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,4,6,1,3,0,15,20,5,6,NA,NA,NA,NA,NA
1,4,6,1,3,1,15.67,20,5,6,"Xa",10,NA,NA,NA
1,4,6,1,3,2,15.67,20.5,5,6,"Xb",10,NA,NA,NA
1,4,6,1,3,3,16.31,20.5,5,6,"Xa",10,NA,NA,NA
1,4,6,1,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,4,7,1,2,0,15,20,2,5,NA,NA,NA,NA,NA
1,4,7,1,2,1,15.67,20,2,5,"Xa",10,NA,NA,NA
1,4,7,1,2,2,16.31,20,2,5,"Xa",10,NA,NA,NA
1,4,7,1,2,3,16.92,20,2,5,"Xa",10,NA,NA,NA
1,4,7,1,2,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,4,8,2,1,0,2,10,2,2,NA,NA,NA,NA,NA
1,4,8,2,1,1,2,11,2,2,"Xb",10,NA,NA,NA
1,4,8,2,1,2,3,11,2,2,"Xa",2,NA,NA,NA
1,4,8,2,1,3,3,11.91,2,2,"Xb",10,NA,NA,NA
1,4,8,2,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,4,9,1,1,0,10,15,2,5,NA,NA,NA,NA,NA
1,4,9,1,1,1,11,15,2,5,"Xa",10,NA,NA,NA
1,4,9,1,1,2,11.91,15,2,5,"Xa",10,NA,NA,NA
1,4,9,1,1,3,12.75,15,2,5,"Xa",10,NA,NA,NA
1,4,9,1,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1,5,1,1,2,0,15,20,2,5,NA,NA,NA,NA,NA
1,5,1,1,2,1,15.67,20,2,5,"Xa",10,NA,NA,NA
1,5,1,1,2,2,16.31,20,2,5,"Xa",10,NA,NA,NA
1,5,1,1,2,3,16.92,20,2,5,"Xa",10,NA,NA,NA
1,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,5,2,3,2,0,5,5,2,20,NA,NA,NA,NA,NA
1,5,2,3,2,1,5,5,2,20.5,"Yb",10,NA,NA,NA
1,5,2,3,2,2,5,5,2,20.99,"Yb",10,NA,NA,NA
1,5,2,3,2,3,5,5,2,21.47,"Yb",10,NA,NA,NA
1,5,2,3,2,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,5,3,2,2,0,2,15,2,2,NA,NA,NA,NA,NA
1,5,3,2,2,1,2,15,3,2,"Ya",2,NA,NA,NA
1,5,3,2,2,2,2,15,3.67,2,"Ya",2,NA,NA,NA
1,5,3,2,2,3,2,15.67,3.67,2,"Xb",10,NA,NA,NA
1,5,3,2,2,NA,NA,NA,NA,NA,NA,NA,"Y","X",NA
1,5,4,1,3,0,15,20,5,6,NA,NA,NA,NA,NA
1,5,4,1,3,1,15.67,20,5,6,"Xa",10,NA,NA,NA
1,5,4,1,3,2,16.31,20,5,6,"Xa",10,NA,NA,NA
1,5,4,1,3,3,16.92,20,5,6,"Xa",10,NA,NA,NA
1,5,4,1,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,5,5,1,1,0,10,15,2,5,NA,NA,NA,NA,NA
1,5,5,1,1,1,11,15,2,5,"Xa",10,NA,NA,NA
1,5,5,1,1,2,11.91,15,2,5,"Xa",10,NA,NA,NA
1,5,5,1,1,3,12.75,15,2,5,"Xa",10,NA,NA,NA
1,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,5,6,2,1,0,2,10,2,2,NA,NA,NA,NA,NA
1,5,6,2,1,1,2,11,2,2,"Xb",10,NA,NA,NA
1,5,6,2,1,2,3,11,2,2,"Xa",2,NA,NA,NA
1,5,6,2,1,3,3,11.91,2,2,"Xb",10,NA,NA,NA
1,5,6,2,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,5,7,2,3,0,5,15,5,5,NA,NA,NA,NA,NA
1,5,7,2,3,1,5,15.67,5,5,"Xb",10,NA,NA,NA
1,5,7,2,3,2,5,16.31,5,5,"Xb",10,NA,NA,NA
1,5,7,2,3,3,5,16.92,5,5,"Xb",10,NA,NA,NA
1,5,7,2,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,5,8,3,3,0,5,10,2,20,NA,NA,NA,NA,NA
1,5,8,3,3,1,5,10,2,20.5,"Yb",10,NA,NA,NA
1,5,8,3,3,2,5,10,2,20.99,"Yb",10,NA,NA,NA
1,5,8,3,3,3,5,10,2,21.47,"Yb",10,NA,NA,NA
1,5,8,3,3,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,5,9,3,1,0,10,5,2,15,NA,NA,NA,NA,NA
1,5,9,3,1,1,11,5,2,15,"Xa",10,NA,NA,NA
1,5,9,3,1,2,11.91,5,2,15,"Xa",10,NA,NA,NA
1,5,9,3,1,3,12.75,5,2,15,"Xa",10,NA,NA,NA
1,5,9,3,1,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1,6,1,1,2,0,15,20,2,5,NA,NA,NA,NA,NA
1,6,1,1,2,1,15,20.5,2,5,"Xb",10,NA,NA,NA
1,6,1,1,2,2,15,20.5,3,5,"Ya",2,NA,NA,NA
1,6,1,1,2,3,15.67,20.5,3,5,"Xa",10,NA,NA,NA
1,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,6,2,3,1,0,10,5,2,15,NA,NA,NA,NA,NA
1,6,2,3,1,1,11,5,2,15,"Xa",10,NA,NA,NA
1,6,2,3,1,2,11,5,2,15.67,"Yb",10,NA,NA,NA
1,6,2,3,1,3,11,5,2,16.31,"Yb",10,NA,NA,NA
1,6,2,3,1,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,6,3,1,1,0,10,15,2,5,NA,NA,NA,NA,NA
1,6,3,1,1,1,11,15,2,5,"Xa",10,NA,NA,NA
1,6,3,1,1,2,11.91,15,2,5,"Xa",10,NA,NA,NA
1,6,3,1,1,3,12.75,15,2,5,"Xa",10,NA,NA,NA
1,6,3,1,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,6,4,3,2,0,5,5,2,20,NA,NA,NA,NA,NA
1,6,4,3,2,1,5,5,2,20.5,"Yb",10,NA,NA,NA
1,6,4,3,2,2,5.4,5,2,20.5,"Xa",2,NA,NA,NA
1,6,4,3,2,3,5.77,5,2,20.5,"Xa",2,NA,NA,NA
1,6,4,3,2,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,6,5,2,1,0,2,10,2,2,NA,NA,NA,NA,NA
1,6,5,2,1,1,2,11,2,2,"Xb",10,NA,NA,NA
1,6,5,2,1,2,3,11,2,2,"Xa",2,NA,NA,NA
1,6,5,2,1,3,3,11.91,2,2,"Xb",10,NA,NA,NA
1,6,5,2,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,6,6,2,2,0,2,15,2,2,NA,NA,NA,NA,NA
1,6,6,2,2,1,3,15,2,2,"Xa",2,NA,NA,NA
1,6,6,2,2,2,3.67,15,2,2,"Xa",2,NA,NA,NA
1,6,6,2,2,3,3.67,15.67,2,2,"Xb",10,NA,NA,NA
1,6,6,2,2,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,6,7,1,3,0,15,20,5,6,NA,NA,NA,NA,NA
1,6,7,1,3,1,15,20.5,5,6,"Xb",10,NA,NA,NA
1,6,7,1,3,2,15.67,20.5,5,6,"Xa",10,NA,NA,NA
1,6,7,1,3,3,16.31,20.5,5,6,"Xa",10,NA,NA,NA
1,6,7,1,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,6,8,2,3,0,5,15,5,5,NA,NA,NA,NA,NA
1,6,8,2,3,1,5,15.67,5,5,"Xb",10,NA,NA,NA
1,6,8,2,3,2,5,15.67,5.4,5,"Ya",2,NA,NA,NA
1,6,8,2,3,3,5,15.67,5.77,5,"Ya",2,NA,NA,NA
1,6,8,2,3,NA,NA,NA,NA,NA,NA,NA,"Y","X",NA
1,6,9,3,3,0,5,10,2,20,NA,NA,NA,NA,NA
1,6,9,3,3,1,5.4,10,2,20,"Xa",2,NA,NA,NA
1,6,9,3,3,2,5.77,10,2,20,"Xa",2,NA,NA,NA
1,6,9,3,3,3,6.12,10,2,20,"Xa",2,NA,NA,NA
1,6,9,3,3,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1,7,1,2,2,0,2,15,2,2,NA,NA,NA,NA,NA
1,7,1,2,2,1,2,15,2,2,"Xa",10,NA,NA,NA
1,7,1,2,2,2,2,15,2,2,"Ya",10,NA,NA,NA
1,7,1,2,2,3,3,15,2,2,"Xa",2,NA,NA,NA
1,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,7,2,3,1,0,10,5,2,15,NA,NA,NA,NA,NA
1,7,2,3,1,1,11,5,2,15,"Xa",10,NA,NA,NA
1,7,2,3,1,2,11.91,5,2,15,"Xa",10,NA,NA,NA
1,7,2,3,1,3,12.75,5,2,15,"Xa",10,NA,NA,NA
1,7,2,3,1,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,7,3,1,1,0,10,15,2,5,NA,NA,NA,NA,NA
1,7,3,1,1,1,11,15,2,5,"Xa",10,NA,NA,NA
1,7,3,1,1,2,11,15.67,2,5,"Xb",10,NA,NA,NA
1,7,3,1,1,3,11.91,15.67,2,5,"Xa",10,NA,NA,NA
1,7,3,1,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,7,4,1,2,0,15,20,2,5,NA,NA,NA,NA,NA
1,7,4,1,2,1,15.67,20,2,5,"Xa",10,NA,NA,NA
1,7,4,1,2,2,16.31,20,2,5,"Xa",10,NA,NA,NA
1,7,4,1,2,3,16.31,20.5,2,5,"Xb",10,NA,NA,NA
1,7,4,1,2,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,7,5,3,2,0,5,5,2,20,NA,NA,NA,NA,NA
1,7,5,3,2,1,5.4,5,2,20,"Xa",2,NA,NA,NA
1,7,5,3,2,2,5.4,5,2,20,"Xa",10,NA,NA,NA
1,7,5,3,2,3,5.77,5,2,20,"Xa",2,NA,NA,NA
1,7,5,3,2,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,7,6,2,3,0,5,15,5,5,NA,NA,NA,NA,NA
1,7,6,2,3,1,5.4,15,5,5,"Xa",2,NA,NA,NA
1,7,6,2,3,2,5.77,15,5,5,"Xa",2,NA,NA,NA
1,7,6,2,3,3,6.12,15,5,5,"Xa",2,NA,NA,NA
1,7,6,2,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,7,7,2,1,0,2,10,2,2,NA,NA,NA,NA,NA
1,7,7,2,1,1,3,10,2,2,"Xa",2,NA,NA,NA
1,7,7,2,1,2,3.67,10,2,2,"Xa",2,NA,NA,NA
1,7,7,2,1,3,4.21,10,2,2,"Xa",2,NA,NA,NA
1,7,7,2,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,7,8,1,3,0,15,20,5,6,NA,NA,NA,NA,NA
1,7,8,1,3,1,15.13,20,5,6,"Xa",2,NA,NA,NA
1,7,8,1,3,2,15.79,20,5,6,"Xa",10,NA,NA,NA
1,7,8,1,3,3,15.79,20.5,5,6,"Xb",10,NA,NA,NA
1,7,8,1,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,7,9,3,3,0,5,10,2,20,NA,NA,NA,NA,NA
1,7,9,3,3,1,5.4,10,2,20,"Xa",2,NA,NA,NA
1,7,9,3,3,2,5.77,10,2,20,"Xa",2,NA,NA,NA
1,7,9,3,3,3,6.12,10,2,20,"Xa",2,NA,NA,NA
1,7,9,3,3,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
1,8,1,2,3,0,5,15,5,5,NA,NA,NA,NA,NA
1,8,1,2,3,1,5,15,5.4,5,"Ya",2,NA,NA,NA
1,8,1,2,3,2,5,15,5.77,5,"Ya",2,NA,NA,NA
1,8,1,2,3,3,5,15,6.12,5,"Ya",2,NA,NA,NA
1,8,1,2,3,NA,NA,NA,NA,NA,NA,NA,"Y","X",NA
1,8,2,3,3,0,5,10,2,20,NA,NA,NA,NA,NA
1,8,2,3,3,1,5,10,2,20.5,"Yb",10,NA,NA,NA
1,8,2,3,3,2,5,10,2,20.99,"Yb",10,NA,NA,NA
1,8,2,3,3,3,5,10,2,21.47,"Yb",10,NA,NA,NA
1,8,2,3,3,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,8,3,1,1,0,10,15,2,5,NA,NA,NA,NA,NA
1,8,3,1,1,1,10,15.67,2,5,"Xb",10,NA,NA,NA
1,8,3,1,1,2,10,16.31,2,5,"Xb",10,NA,NA,NA
1,8,3,1,1,3,10,16.92,2,5,"Xb",10,NA,NA,NA
1,8,3,1,1,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,8,4,3,1,0,10,5,2,15,NA,NA,NA,NA,NA
1,8,4,3,1,1,10,5,2,15.13,"Yb",2,NA,NA,NA
1,8,4,3,1,2,10,5,2,15.79,"Yb",10,NA,NA,NA
1,8,4,3,1,3,10,5,2,16.42,"Yb",10,NA,NA,NA
1,8,4,3,1,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,8,5,1,2,0,15,20,2,5,NA,NA,NA,NA,NA
1,8,5,1,2,1,15,20.5,2,5,"Xb",10,NA,NA,NA
1,8,5,1,2,2,15,20.99,2,5,"Xb",10,NA,NA,NA
1,8,5,1,2,3,15,21.47,2,5,"Xb",10,NA,NA,NA
1,8,5,1,2,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,8,6,3,2,0,5,5,2,20,NA,NA,NA,NA,NA
1,8,6,3,2,1,5,5,2,20.5,"Yb",10,NA,NA,NA
1,8,6,3,2,2,5,5,2,20.99,"Yb",10,NA,NA,NA
1,8,6,3,2,3,5,5,2,21.47,"Yb",10,NA,NA,NA
1,8,6,3,2,NA,NA,NA,NA,NA,NA,NA,"X","Y",NA
1,8,7,1,3,0,15,20,5,6,NA,NA,NA,NA,NA
1,8,7,1,3,1,15,20.5,5,6,"Xb",10,NA,NA,NA
1,8,7,1,3,2,15,20.99,5,6,"Xb",10,NA,NA,NA
1,8,7,1,3,3,15,21.47,5,6,"Xb",10,NA,NA,NA
1,8,7,1,3,NA,NA,NA,NA,NA,NA,NA,"X","X",NA
1,8,8,2,1,0,2,10,2,2,NA,NA,NA,NA,NA
1,8,8,2,1,1,2,11,2,2,"Xb",10,NA,NA,NA
1,8,8,2,1,2,2,11.91,2,2,"Xb",10,NA,NA,NA
1,8,8,2,1,3,2,12.75,2,2,"Xb",10,NA,NA,NA
1,8,8,2,1,NA,NA,NA,NA,NA,NA,NA,"Y","X",NA
1,8,9,2,2,0,2,15,2,2,NA,NA,NA,NA,NA
1,8,9,2,2,1,2,15.67,2,2,"Xb",10,NA,NA,NA
1,8,9,2,2,2,2,16.31,2,2,"Xb",10,NA,NA,NA
1,8,9,2,2,3,2,16.92,2,2,"Xb",10,NA,NA,NA
